target,variable,scheme,n_bins,n,n_pos,auc,pr_auc,auc_loss_vs_raw,spearman_vs_raw
y_ad_next,cogn_global,raw_continuous,,28394,920,0.9258,0.2846,0.0,1.0
y_ad_next,cogn_global,equal_width,4.0,28394,920,0.7822,0.1637,0.1436,0.8578
y_ad_next,cogn_global,equal_width,5.0,28394,920,0.8584,0.1793,0.0674,0.8269
y_ad_next,cogn_global,equal_width,6.0,28394,920,0.8725,0.2004,0.0534,0.8746
y_ad_next,cogn_global,equal_width,8.0,28394,920,0.8958,0.2305,0.03,0.9349
y_ad_next,cogn_global,equal_width,10.0,28394,920,0.9017,0.2351,0.0241,0.9547
y_ad_next,cogn_global,equal_width,20.0,28394,920,0.9168,0.2554,0.0091,0.9882
y_ad_next,cogn_global,equal_width,50.0,28394,920,0.9197,0.2688,0.0062,0.9981
y_ad_next,cogn_global,quantile,4.0,28394,920,0.8633,0.1129,0.0625,0.9682
y_ad_next,cogn_global,quantile,5.0,28394,920,0.881,0.132,0.0448,0.9798
y_ad_next,cogn_global,quantile,6.0,28394,920,0.8913,0.1486,0.0345,0.986
y_ad_next,cogn_global,quantile,8.0,28394,920,0.9048,0.1738,0.021,0.9922
y_ad_next,cogn_global,quantile,10.0,28394,920,0.9121,0.195,0.0137,0.995
y_ad_next,cogn_global,quantile,20.0,28394,920,0.9205,0.2443,0.0053,0.9987
y_ad_next,cogn_global,quantile,50.0,28394,920,0.9213,0.2711,0.0046,0.9998
y_ad_next,cts_estmmse30,raw_continuous,,26871,904,0.8863,0.2643,0.0,1.0
y_ad_next,cts_estmmse30,equal_width,4.0,26871,904,0.6559,0.1572,0.2304,0.3316
y_ad_next,cts_estmmse30,equal_width,5.0,26871,904,0.6919,0.1813,0.1944,0.3786
y_ad_next,cts_estmmse30,equal_width,6.0,26871,904,0.7308,0.2007,0.1555,0.4536
y_ad_next,cts_estmmse30,equal_width,8.0,26871,904,0.815,0.2148,0.0713,0.6733
y_ad_next,cts_estmmse30,equal_width,10.0,26871,904,0.8174,0.2335,0.0689,0.6763
y_ad_next,cts_estmmse30,equal_width,20.0,26871,904,0.8708,0.2509,0.0155,0.9259
y_ad_next,cts_estmmse30,equal_width,50.0,26871,904,0.8711,0.2574,0.0152,0.9996
y_ad_next,cts_estmmse30,quantile,4.0,26871,904,0.8485,0.1283,0.0378,0.9883
y_ad_next,cts_estmmse30,quantile,5.0,26871,904,0.8548,0.1307,0.0315,0.9972
y_ad_next,cts_estmmse30,quantile,6.0,26871,904,0.8671,0.1632,0.0192,0.9971
y_ad_next,cts_estmmse30,quantile,8.0,26871,904,0.871,0.1665,0.0153,0.9991
y_ad_next,cts_estmmse30,quantile,10.0,26871,904,0.8757,0.1924,0.0106,0.9992
y_ad_next,cts_estmmse30,quantile,20.0,26871,904,0.8812,0.2229,0.0051,0.9997
y_ad_next,cts_estmmse30,quantile,50.0,26871,904,0.8823,0.2539,0.004,0.9999
y_ad_next,bmi,raw_continuous,,24255,712,0.5843,0.0397,0.0,1.0
y_ad_next,bmi,equal_width,4.0,24255,712,0.5606,0.0354,0.0237,0.8105
y_ad_next,bmi,equal_width,5.0,24255,712,0.5642,0.0358,0.0201,0.8375
y_ad_next,bmi,equal_width,6.0,24255,712,0.5638,0.035,0.0205,0.9061
y_ad_next,bmi,equal_width,8.0,24255,712,0.5744,0.0371,0.0099,0.939
y_ad_next,bmi,equal_width,10.0,24255,712,0.5775,0.0371,0.0068,0.9608
y_ad_next,bmi,equal_width,20.0,24255,712,0.5772,0.0376,0.0071,0.9895
y_ad_next,bmi,equal_width,50.0,24255,712,0.5619,0.0367,0.0225,0.9983
y_ad_next,bmi,quantile,4.0,24255,712,0.5722,0.0357,0.0121,0.9682
y_ad_next,bmi,quantile,5.0,24255,712,0.5725,0.0367,0.0118,0.9798
y_ad_next,bmi,quantile,6.0,24255,712,0.5788,0.0375,0.0055,0.986
y_ad_next,bmi,quantile,8.0,24255,712,0.5708,0.0365,0.0135,0.9922
y_ad_next,bmi,quantile,10.0,24255,712,0.5757,0.0376,0.0086,0.995
y_ad_next,bmi,quantile,20.0,24255,712,0.57,0.0371,0.0143,0.9987
y_ad_next,bmi,quantile,50.0,24255,712,0.5604,0.0357,0.0239,0.9998
y_ad_next,sbp_avg,raw_continuous,,25259,814,0.5002,0.0354,0.0,1.0
y_ad_next,sbp_avg,equal_width,4.0,25259,814,0.4995,0.0342,0.0007,0.8006
y_ad_next,sbp_avg,equal_width,5.0,25259,814,0.5053,0.0342,-0.0051,0.903
y_ad_next,sbp_avg,equal_width,6.0,25259,814,0.5114,0.034,-0.0112,0.9131
y_ad_next,sbp_avg,equal_width,8.0,25259,814,0.5102,0.0349,-0.01,0.9517
y_ad_next,sbp_avg,equal_width,10.0,25259,814,0.5135,0.0347,-0.0133,0.9674
y_ad_next,sbp_avg,equal_width,20.0,25259,814,0.5282,0.0368,-0.028,0.9918
y_ad_next,sbp_avg,equal_width,50.0,25259,814,0.4948,0.0322,0.0054,0.9987
y_ad_next,sbp_avg,quantile,4.0,25259,814,0.5072,0.0334,-0.007,0.9682
y_ad_next,sbp_avg,quantile,5.0,25259,814,0.5109,0.0331,-0.0107,0.9798
y_ad_next,sbp_avg,quantile,6.0,25259,814,0.5216,0.0345,-0.0215,0.9861
y_ad_next,sbp_avg,quantile,8.0,25259,814,0.5121,0.034,-0.0119,0.9922
y_ad_next,sbp_avg,quantile,10.0,25259,814,0.5047,0.0331,-0.0045,0.995
y_ad_next,sbp_avg,quantile,20.0,25259,814,0.509,0.0333,-0.0088,0.9987
y_ad_next,sbp_avg,quantile,50.0,25259,814,0.5083,0.0348,-0.0082,0.9998
y_imp_next,cogn_global,raw_continuous,,24723,1490,0.8843,0.3931,0.0,1.0
