variable,type,icc1,icc1_excl_extreme,icc1_excl_single_max,icc1_unclipped,n_extreme_robust_z_gt10,n_persons,n_obs,obs_per_person,pct_nonnull,verdict
r_stroke,ordinal,0.2272,0.2272,0.1485,0.2272,0,4385,31043,7.08,85.9,sequence token
r_depres,ordinal,0.2353,0.2353,0.2486,0.2353,0,4426,34868,7.88,96.49,sequence token
dbp_avg,cont,0.3488,0.3488,0.3481,0.3488,0,4369,30972,7.09,85.7,sequence token
sbp_avg,cont,0.3678,0.3678,0.3674,0.3678,0,4369,31035,7.1,85.88,sequence token
psqi_sum,cont,0.3698,0.3698,0.3683,0.3698,0,3283,20042,6.1,55.46,sequence token
berlin_risk_class,binary,0.3888,0.3888,,0.3888,0,1858,7080,3.81,19.59,sequence token
cts_estmmse30,cont,0.4254,0.4254,0.3858,0.4254,0,4423,33907,7.67,93.83,sequence token
ad_rx,binary,0.465,0.465,,0.465,0,4428,35873,8.1,99.27,sequence token
glucose,cont,0.4881,0.4881,0.5005,0.5001,94,3684,19858,5.39,54.95,sequence token
ldlchlstrl,cont,0.5815,0.5815,0.5815,0.5815,0,3669,19718,5.37,54.56,sequence token
antihyp_rx,binary,0.583,0.583,,0.583,0,4428,35873,8.1,99.27,sequence token
statin_rx,binary,0.624,0.624,,0.624,0,4428,35873,8.1,99.27,sequence token
cogn_global,cont,0.6508,0.6508,0.6507,0.6508,0,4423,35097,7.94,97.12,sequence token
claudication_cum,binary,0.6779,0.6779,,0.6779,0,4426,35454,8.01,98.11,sequence token
chf_cum,binary,0.7085,0.7085,,0.7085,0,3251,19735,6.07,54.61,sequence token
diabetes_rx,binary,0.7688,0.7688,,0.7688,0,4428,35873,8.1,99.27,sequence token
gfr_mdrs,cont,0.7749,0.7749,0.7754,0.7749,0,3684,19865,5.39,54.97,sequence token
hba1c,cont,0.782,0.782,0.7744,-0.0257,49,3227,15596,4.83,43.16,DATA QUALITY: 49 extreme value(s) distort the raw ICC
hdlchlstrl,cont,0.7914,0.7914,0.7938,0.7914,0,3686,19865,5.39,54.97,sequence token
hypertension_cum,binary,0.8092,0.8092,,0.8092,0,4427,35466,8.01,98.14,sequence token
dm_cum,binary,0.8354,0.8354,,0.8354,0,4426,35867,8.1,99.25,sequence token
heart_cum,binary,0.8429,0.8429,,0.8429,0,4427,35464,8.01,98.13,sequence token
bmi,cont,0.8632,0.8632,0.8631,0.8632,0,4373,28609,6.54,79.17,static-like -> move to a static covariate
