variable,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20+
ad_rx,0.0,0.206,0.345,0.637,0.98,0.816,3.165,0.478,0.395,0.333,1.064,0.267,2.492,1.564,2.56,0.164,0.189,0.0,0.524,0.314,0.349
statin_rx,0.0,0.206,0.345,0.637,0.98,0.816,3.165,0.478,0.395,0.333,1.064,0.267,2.492,1.564,2.56,0.164,0.189,0.0,0.524,0.314,0.349
diabetes_rx,0.0,0.206,0.345,0.637,0.98,0.816,3.165,0.478,0.395,0.333,1.064,0.267,2.492,1.564,2.56,0.164,0.189,0.0,0.524,0.314,0.349
antihyp_rx,0.0,0.206,0.345,0.637,0.98,0.816,3.165,0.478,0.395,0.333,1.064,0.267,2.492,1.564,2.56,0.164,0.189,0.0,0.524,0.314,0.349
dm_cum,0.045,0.232,0.374,0.669,1.015,0.816,3.165,0.478,0.395,0.333,1.064,0.267,2.492,1.564,2.56,0.164,0.189,0.0,0.524,0.314,0.349
hypertension_cum,0.045,0.72,1.238,1.497,2.31,2.175,5.09,1.862,2.599,1.464,2.432,2.139,3.842,2.647,5.263,2.299,0.756,1.822,2.094,0.943,1.744
heart_cum,0.09,0.72,1.238,1.497,2.31,2.175,5.09,1.862,2.599,1.464,2.432,2.139,3.842,2.647,5.263,2.299,0.756,1.822,2.094,0.943,1.744
claudication_cum,0.158,0.823,1.267,1.529,2.345,2.175,5.09,1.862,2.599,1.464,2.432,2.139,3.842,2.647,5.263,2.299,0.756,1.822,2.094,0.943,1.744
cogn_global,0.203,1.003,1.641,1.624,1.995,2.835,2.566,3.009,3.616,4.192,4.635,5.08,4.569,6.739,7.966,6.404,6.427,6.606,6.283,5.66,10.116
r_depres,0.836,2.213,2.476,2.102,2.73,2.99,3.636,3.916,5.424,4.125,5.395,5.348,6.957,6.137,5.69,5.09,5.293,5.239,5.236,4.403,12.791
cts_estmmse30,0.7,3.55,8.722,6.019,9.135,6.252,5.603,6.256,7.006,6.454,8.131,7.843,6.023,5.897,8.25,11.002,10.964,10.251,9.948,6.918,8.721
r_stroke,5.691,8.104,8.002,8.854,11.691,13.01,18.263,16.094,20.621,21.69,22.796,21.747,27.83,21.179,32.148,34.154,32.136,26.424,18.325,4.717,6.395
sbp_avg,4.133,7.667,12.694,11.242,16.521,14.214,17.408,13.849,16.836,14.637,19.757,17.558,22.534,20.939,23.329,21.675,23.819,28.018,22.513,22.013,26.279
dbp_avg,4.426,8.001,12.953,11.497,16.766,14.524,17.536,13.897,16.893,14.637,19.757,17.558,22.534,20.939,23.329,21.675,23.819,28.018,22.513,22.013,26.279
bmi,3.117,15.076,13.328,16.624,18.481,27.107,19.974,32.378,21.13,30.339,23.176,33.066,25.234,38.267,27.027,36.453,28.922,41.002,27.225,47.17,44.535
psqi_sum,35.163,36.815,39.349,40.86,41.652,41.709,41.831,41.834,44.859,48.57,54.483,54.545,56.49,59.206,62.304,62.726,64.272,64.92,68.325,62.893,63.372
hdlchlstrl,39.883,42.578,48.561,48.567,51.383,47.883,42.472,42.98,41.13,37.791,43.465,43.85,46.002,44.645,47.511,48.44,49.527,51.481,46.597,46.226,50.0
gfr_mdrs,39.86,42.629,48.647,48.567,51.313,47.922,42.515,42.789,41.13,37.858,43.541,43.85,46.002,44.645,47.226,48.44,49.527,51.481,46.597,46.226,50.0
glucose,39.86,42.655,48.647,48.631,51.313,47.961,42.558,42.789,41.186,37.924,43.541,43.85,46.002,44.645,47.226,48.44,49.527,51.481,46.597,46.226,50.0
chf_cum,38.505,41.163,43.811,45.573,41.232,41.049,40.676,41.929,43.107,45.775,50.152,51.248,53.375,55.716,59.744,61.248,64.083,64.237,67.016,63.208,63.605
ldlchlstrl,40.447,43.015,49.05,48.758,51.663,48.466,42.772,43.171,41.356,38.456,43.617,44.296,46.521,44.886,47.937,49.425,50.851,51.481,46.597,46.541,50.349
hba1c,55.51,62.593,68.365,64.49,63.738,56.155,48.931,50.478,50.226,51.098,53.951,54.813,52.752,49.338,47.795,48.44,49.338,51.708,46.859,46.226,50.93
berlin_risk_class,80.668,82.274,84.485,82.739,82.849,83.223,79.384,80.564,77.401,78.377,75.456,78.52,75.286,79.302,78.094,79.803,75.236,77.221,73.56,70.755,71.86
log_hil6,98.148,96.604,96.229,99.777,99.72,99.689,98.204,99.236,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
log_htnfa,98.148,96.604,96.229,99.777,99.72,99.689,98.204,99.236,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
log_hcrp,98.148,96.604,96.229,99.777,99.72,99.689,98.204,99.236,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
