column,dtype,codebook_type,grain,n_nonnull,pct_nonnull,nunique,min,max,mean,median,top10,codebook_note
projid,int64,id,person,3584,100.0,3584,9121.0,99982430.0,41679630.079,35094778.0,10101589:1; 86767530:1; 9650662:1; 50402855:1; 20544321:1; 20630946:1; 39136480:1; 87195990:1; 20718719:1; 10433070:1,RADC participant id; join key across all three tables
Study,str,nominal,person,3583,99.97,2,,,,,MAP:2132; ROS:1451,cohort label in the ROSMAP release
msex,float64,binary,person,3583,99.97,2,0.0,1.0,0.2727,0.0,0.0:2606; 1.0:977,1 male / 0 female
educ,float64,cont,person,3582,99.94,30,0.0,30.0,16.3018,16.0,16.0:683; 18.0:597; 12.0:508; 20.0:335; 14.0:271; 13.0:189; 21.0:164; 19.0:149; 17.0:136; 15.0:122,"years of regular school, reported at baseline"
race,float64,nominal,person,3583,99.97,7,1.0,7.0,1.1094,1.0,1.0:3328; 2.0:211; 7.0:15; 3.0:13; 5.0:11; 6.0:3; 4.0:2,self-reported race
spanish,float64,nominal,person,3583,99.97,2,1.0,2.0,1.9492,2.0,2.0:3401; 1.0:182,"Spanish/Hispanic ethnicity, 1 yes / 2 no"
apoe_genotype,float64,nominal,person,3122,87.11,6,22.0,44.0,31.894,33.0,33.0:1932; 34.0:658; 23.0:389; 24.0:71; 44.0:55; 22.0:17,"22/23/24/33/34/44; NOT ordinal -- e2 is protective, e4 risk"
age_at_visit_max,str,cont,person,3583,99.97,2060,,,,,90+:1104; 88.895277207392198:4; 87.479808350444898:4; 86.926762491444222:4; 85.973990417522245:4; 85.913757700205338:4; 89.954825462012323:3; 89.785078713210126:3; 89.642710472279262:3; 89.503080082135526:3,"age at last visit -- DE-IDENTIFIED, top coded as the string '90+'"
age_first_ad_dx,str,cont,person,832,23.21,515,,,,,90+:292; 87.00342231348391:3; 87.381245722108147:2; 87.154004106776185:2; 89.125256673511288:2; 89.971252566735117:2; 88.517453798767974:2; 87.334702258726892:2; 88.804928131416844:2; 88.930869267624914:2,"age at FIRST cycle with dcfdx in {4,5}; missing if demented at baseline"
age_death,str,cont,person,1855,51.76,885,,,,,90+:879; 89.045859000684459:3; 89.500342231348398:3; 88.791238877481177:3; 87.991786447638603:3; 88.407939767282684:3; 89.957563312799451:2; 89.667351129363453:2; 89.727583846680361:2; 89.67556468172485:2,"age at death -- DE-IDENTIFIED, top coded as the string '90+'"
cts_mmse30_first_ad_dx,float64,cont,person,807,22.52,65,0.0,30.0,20.6549,22.0,23.0:76; 24.0:73; 25.0:70; 21.0:63; 22.0:61; 20.0:58; 26.0:50; 18.0:44; 19.0:41; 27.0:35,MMSE at the first AD dx cycle
cts_mmse30_lv,float64,cont,person,3580,99.89,104,0.0,30.0,23.6939,27.0,29.0:621; 30.0:540; 28.0:487; 27.0:333; 26.0:237; 25.0:157; 0.0:118; 24.0:107; 23.0:100; 22.0:79,MMSE at the LAST valid cycle
pmi,float64,cont,person,1603,44.73,568,0.75,98.3167,9.3897,6.7833,5.0:35; 6.0:30; 6.5:25; 4.0:23; 4.5:21; 3.0:19; 3.5:18; 5.75:18; 5.83333333333333:17; 6.16666666666667:16,post-mortem interval (hours); AUTOPSY ONLY -- presence alone implies death
braaksc,float64,ordinal,person,1597,44.56,7,0.0,6.0,3.6162,4.0,4.0:510; 5.0:408; 3.0:383; 2.0:152; 1.0:104; 6.0:23; 0.0:17,"Braak NFT stage 0-6, ascending severity; AUTOPSY ONLY"
ceradsc,float64,ordinal,person,1597,44.56,4,1.0,4.0,2.211,2.0,2.0:560; 1.0:532; 4.0:364; 3.0:141,CERAD 1 definite / 2 probable / 3 possible / 4 no AD -- REVERSE coded; AUTOPSY ONLY
cogdx,float64,ordinal,person,1821,50.81,6,1.0,6.0,2.6573,2.0,4.0:674; 1.0:586; 2.0:404; 5.0:94; 3.0:33; 6.0:30,FINAL consensus cognitive dx (post-mortem informed for autopsied)
dcfdx_lv,float64,ordinal,person,3583,99.97,6,1.0,6.0,2.1142,2.0,1.0:1785; 4.0:839; 2.0:785; 5.0:105; 6.0:44; 3.0:25,clinical dx at the LAST valid cycle -- 1 NCI / 2 MCI / 3 MCI+ / 4 AD / 5 AD+ / 6 other dementia
individualID,str,id,person,3584,100.0,3584,,,,,R6939144:1; R3893503:1; R8937093:1; R7139444:1; R4971237:1; R4859661:1; R1954385:1; R9493876:1; R9075670:1; R1158585:1,Synapse/ROSMAP identifier
