column,dtype,codebook_type,grain,n_nonnull,pct_nonnull,nunique,min,max,mean,median,top10,codebook_note
projid,int64,id,person,36138,100.0,4428,9121.0,99982430.0,39967399.3083,28314511.0,20596265:31; 10222303:30; 10289776:30; 20721930:30; 20741150:30; 20212416:29; 20739782:29; 20987152:29; 10479506:28; 11207908:28,RADC participant id; join key across all three tables
study,str,nominal,person,36138,100.0,3,,,,,MAP:18253; ROS:16286; LATC:1599,ROS / MAP / LATC cohort label
fu_year,int64,time,visit,36138,100.0,32,0.0,31.0,5.966,5.0,0:4428; 1:3887; 2:3474; 3:3140; 4:2857; 5:2575; 6:2338; 7:2094; 8:1770; 9:1503,follow-up cycle index; 0 = baseline. THE ONLY time field in the release
log_hcrp,float64,cont,visit,426,1.18,426,-4.8515,2.6075,-1.4949,-1.5317,0.962467961491906:1; -3.15883961142414:1; -0.295922599186782:1; -3.09794220197257:1; -1.63286520088481:1; -1.84791720744032:1; -3.4414258023822:1; -2.75129700810549:1; -1.38301972858623:1; -2.20991731033902:1,log C-reactive protein
log_hil6,float64,cont,visit,426,1.18,322,0.3507,4.8884,2.1396,2.0136,1.65249740189455:4; 1.81807677754543:4; 1.71918877639322:4; 1.70474809223843:3; 1.48613969608961:3; 1.84687876844913:3; 1.61740608208328:3; 1.85002837735203:3; 1.25846098961001:3; 1.53039470509365:3,log interleukin-6
log_htnfa,float64,cont,visit,426,1.18,382,2.3026,5.9562,3.7575,3.6334,3.58961145245527:3; 3.44680789291421:3; 3.47939222924721:3; 3.41312595252743:2; 3.62434093297637:2; 3.42426265459315:2; 3.77230106225301:2; 3.40452517175483:2; 3.41246697392039:2; 3.58795353552398:2,log TNF-alpha
gfr_mdrs,float64,cont,visit,19865,54.97,19635,4.9276,212.0744,67.0821,65.8565,64.1136705570977:3; 74.1691318326945:3; 56.2933064787925:3; 57.4319474926745:3; 87.6765830992976:2; 70.9691937195851:2; 64.6861181360834:2; 56.2009090194883:2; 57.1665547402433:2; 75.7853392918259:2,estimated glomerular filtration rate (MDRD)
glucose,float64,cont,visit,19858,54.95,315,17.0,522.0,107.1536,97.0,87.0:530; 92.0:525; 90.0:525; 89.0:504; 88.0:493; 95.0:487; 94.0:487; 93.0:480; 91.0:475; 85.0:446,blood glucose
hba1c,float64,cont,visit,15596,43.16,86,3.9,505.0,5.9254,5.7,5.7:1650; 5.6:1638; 5.8:1528; 5.5:1484; 5.9:1278; 5.4:1195; 6.0:1003; 5.3:804; 6.1:691; 5.2:519,hemoglobin A1c
hdlchlstrl,float64,cont,visit,19865,54.97,140,13.0,210.0,60.782,58.0,49.0:488; 57.0:485; 54.0:482; 55.0:476; 51.0:470; 56.0:468; 48.0:468; 61.0:464; 53.0:459; 50.0:454,HDL cholesterol
ldlchlstrl,float64,cont,visit,19718,54.56,231,10.0,339.0,98.2968,95.0,84.0:267; 81.0:244; 79.0:244; 78.0:242; 89.0:241; 87.0:236; 106.0:233; 83.0:233; 77.0:232; 100.0:232,LDL cholesterol
r_stroke,float64,ordinal,visit,31043,85.9,4,1.0,4.0,3.8979,4.0,4.0:29140; 3.0:874; 2.0:792; 1.0:237,clinician stroke dx: 1 highly probable / 2 probable / 3 possible / 4 NOT present -- REVERSE coded
cogn_global,float64,cont,visit,35097,97.12,35042,-4.5927,1.9449,0.0106,0.1638,-3.96784191349742:12; -3.61677194988888:11; -3.54818726048997:6; -3.47087633007234:4; -3.91314494060925:3; -3.54836774607938:3; 0.94063199180139:2; 0.00448487506809821:2; 0.517579767822159:2; 0.259122771446684:2,"global cognition z, mean of 19 tests; z uses the BASELINE-cycle cohort mean/sd"
cts_estmmse30,float64,cont,visit,33907,93.83,141,0.0,30.0,26.5042,28.0,30.0:8161; 29.0:7622; 28.0:5117; 27.0:3451; 26.0:2067; 25.0:1392; 24.0:888; 22.0:568; 23.0:556; 21.0:427,"estimated MMSE, 0-30 scale"
r_depres,float64,ordinal,visit,34868,96.49,4,1.0,4.0,3.8991,4.0,4.0:32662; 3.0:1243; 2.0:614; 1.0:349,clinician major depression dx: 1 highly probable ... 4 NOT present -- REVERSE coded
bmi,float64,cont,visit,28609,79.17,2989,11.9439,57.5632,27.3795,26.6255,28.1231437536:76; 24.8892568620117:66; 25.1542354057143:66; 24.7999504:64; 23.9142378857143:62; 25.6064004:61; 25.6856629142857:61; 24.6918861:60; 26.5713754285714:59; 24.4456653942857:58,"body mass index, measured at each visit"
dbp_avg,float64,cont,visit,30972,85.7,165,40.0,140.0,73.7839,73.5,70.0:990; 69.0:870; 71.0:834; 72.0:816; 80.0:802; 75.0:732; 74.0:729; 79.0:729; 73.0:725; 78.0:705,"diastolic blood pressure, averaged"
hypertension_cum,float64,binary,visit,35466,98.14,2,0.0,1.0,0.5988,1.0,1.0:21238; 0.0:14228,"self-reported hypertension EVER UP TO this cycle -- cumulative, monotone"
sbp_avg,float64,cont,visit,31035,85.88,275,64.0,222.0,131.2946,130.0,120.0:611; 130.0:607; 131.0:504; 129.0:501; 128.0:474; 134.0:453; 140.0:452; 127.0:451; 132.0:451; 122.0:448,"systolic blood pressure, averaged"
dm_cum,float64,binary,visit,35867,99.25,2,0.0,1.0,0.1927,0.0,0.0:28957; 1.0:6910,"self-reported diabetes ever up to this cycle -- cumulative, monotone"
chf_cum,float64,binary,visit,19735,54.61,2,0.0,1.0,0.0749,0.0,0.0:18256; 1.0:1479,"congestive heart failure ever up to this cycle -- cumulative, monotone"
claudication_cum,float64,binary,visit,35454,98.11,2,0.0,1.0,0.193,0.0,0.0:28610; 1.0:6844,"claudication ever up to this cycle -- cumulative, monotone"
heart_cum,float64,binary,visit,35464,98.13,2,0.0,1.0,0.1146,0.0,0.0:31400; 1.0:4064,"heart condition ever up to this cycle -- cumulative, monotone"
antihyp_rx,float64,binary,visit,35873,99.27,2,0.0,1.0,0.5209,1.0,1.0:18685; 0.0:17188,antihypertensive taken in the 2 weeks before THIS visit -- point-in-time
