variable,n,min,p01,median,p99,p999,max,skew,n_robust_z_gt10,example_extreme_values
hba1c,15596,3.9,4.9,5.7,8.8,11.4,505.0,118.92,49,"13.2, 13.3, 13.6, 16.4, 505"
cts_estmmse30,33907,0.0,2.0,28.0,30.0,30.0,30.0,-2.82,0,
glucose,19858,17.0,61.0,97.0,257.0,360.143,522.0,2.73,94,"431, 441, 458, 482, 522"
psqi_sum,20042,0.0,0.0,2.0,11.0,14.0,15.0,1.65,0,
log_htnfa,426,2.303,2.971,3.633,5.503,5.945,5.956,1.62,0,
cogn_global,35097,-4.593,-2.834,0.164,1.365,1.613,1.945,-1.26,0,
log_hil6,426,0.351,0.892,2.014,4.262,4.788,4.888,1.12,0,
bmi,28609,11.944,17.742,26.625,43.766,51.728,57.563,0.92,0,
hdlchlstrl,19865,13.0,30.0,58.0,113.0,142.0,210.0,0.87,0,
ldlchlstrl,19718,10.0,35.0,95.0,188.0,239.0,339.0,0.59,0,
sbp_avg,31035,64.0,92.0,130.0,181.5,201.5,222.0,0.42,0,
gfr_mdrs,19865,4.928,25.836,65.857,118.526,149.984,212.074,0.41,0,
log_hcrp,426,-4.851,-4.111,-1.532,1.628,2.606,2.608,0.31,0,
dbp_avg,30972,40.0,50.0,73.5,101.5,115.0,140.0,0.29,0,
