target,variable,n_level_bins,n_delta_bins,n,n_pos,auc,pr_auc,auc_raw_level_and_delta,auc_loss_vs_raw
y_ad_next,cogn_global,4,4,24391,855,0.8935,0.1674,0.9286,0.0351
y_ad_next,cogn_global,5,4,24391,855,0.904,0.191,0.9286,0.0246
y_ad_next,cogn_global,6,4,24391,855,0.9102,0.2077,0.9286,0.0184
y_ad_next,cogn_global,8,4,24391,855,0.9178,0.2352,0.9286,0.0108
y_ad_next,cogn_global,10,4,24391,855,0.9219,0.2565,0.9286,0.0067
y_ad_next,cogn_global,20,4,24391,855,0.9259,0.3043,0.9286,0.0028
y_ad_next,cogn_global,50,4,24391,855,0.9229,0.3302,0.9286,0.0057
y_ad_next,cts_estmmse30,4,4,21929,795,0.8592,0.1433,0.8801,0.0209
y_ad_next,cts_estmmse30,5,4,21929,795,0.8628,0.1449,0.8801,0.0173
y_ad_next,cts_estmmse30,6,4,21929,795,0.8769,0.1792,0.8801,0.0032
y_ad_next,cts_estmmse30,8,4,21929,795,0.878,0.18,0.8801,0.0021
y_ad_next,cts_estmmse30,10,4,21929,795,0.8826,0.2054,0.8801,-0.0025
y_ad_next,cts_estmmse30,20,4,21929,795,0.889,0.2429,0.8801,-0.0089
y_ad_next,cts_estmmse30,50,4,21929,795,0.8897,0.2675,0.8801,-0.0096
y_imp_next,cogn_global,4,4,20993,1330,0.8463,0.2064,0.8885,0.0422
y_imp_next,cogn_global,5,4,20993,1330,0.8544,0.2288,0.8885,0.0341
y_imp_next,cogn_global,6,4,20993,1330,0.867,0.2514,0.8885,0.0215
y_imp_next,cogn_global,8,4,20993,1330,0.8737,0.2807,0.8885,0.0148
y_imp_next,cogn_global,10,4,20993,1330,0.8757,0.3005,0.8885,0.0128
y_imp_next,cogn_global,20,4,20993,1330,0.8835,0.3561,0.8885,0.005
y_imp_next,cogn_global,50,4,20993,1330,0.8841,0.388,0.8885,0.0044
y_imp_next,cts_estmmse30,4,4,20138,1259,0.8487,0.2934,0.8664,0.0177
y_imp_next,cts_estmmse30,5,4,20138,1259,0.8531,0.2954,0.8664,0.0133
y_imp_next,cts_estmmse30,6,4,20138,1259,0.8531,0.2954,0.8664,0.0133
y_imp_next,cts_estmmse30,8,4,20138,1259,0.8583,0.3349,0.8664,0.0081
y_imp_next,cts_estmmse30,10,4,20138,1259,0.8583,0.3349,0.8664,0.0081
y_imp_next,cts_estmmse30,20,4,20138,1259,0.8589,0.3451,0.8664,0.0075
y_imp_next,cts_estmmse30,50,4,20138,1259,0.859,0.3455,0.8664,0.0074
