variable,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20+
ad_rx,0.0,0.21,0.35,0.64,0.98,0.82,3.17,0.48,0.4,0.33,1.06,0.27,2.49,1.56,2.56,0.16,0.19,0.0,0.52,0.31,0.35
statin_rx,0.0,0.21,0.35,0.64,0.98,0.82,3.17,0.48,0.4,0.33,1.06,0.27,2.49,1.56,2.56,0.16,0.19,0.0,0.52,0.31,0.35
diabetes_rx,0.0,0.21,0.35,0.64,0.98,0.82,3.17,0.48,0.4,0.33,1.06,0.27,2.49,1.56,2.56,0.16,0.19,0.0,0.52,0.31,0.35
antihyp_rx,0.0,0.21,0.35,0.64,0.98,0.82,3.17,0.48,0.4,0.33,1.06,0.27,2.49,1.56,2.56,0.16,0.19,0.0,0.52,0.31,0.35
dm_cum,0.05,0.23,0.37,0.67,1.02,0.82,3.17,0.48,0.4,0.33,1.06,0.27,2.49,1.56,2.56,0.16,0.19,0.0,0.52,0.31,0.35
hypertension_cum,0.05,0.72,1.24,1.5,2.31,2.17,5.09,1.86,2.6,1.46,2.43,2.14,3.84,2.65,5.26,2.3,0.76,1.82,2.09,0.94,1.74
heart_cum,0.09,0.72,1.24,1.5,2.31,2.17,5.09,1.86,2.6,1.46,2.43,2.14,3.84,2.65,5.26,2.3,0.76,1.82,2.09,0.94,1.74
claudication_cum,0.16,0.82,1.27,1.53,2.35,2.17,5.09,1.86,2.6,1.46,2.43,2.14,3.84,2.65,5.26,2.3,0.76,1.82,2.09,0.94,1.74
cogn_global,0.2,1.0,1.64,1.62,2.0,2.83,2.57,3.01,3.62,4.19,4.64,5.08,4.57,6.74,7.97,6.4,6.43,6.61,6.28,5.66,10.12
r_depres,0.84,2.21,2.48,2.1,2.73,2.99,3.64,3.92,5.42,4.13,5.4,5.35,6.96,6.14,5.69,5.09,5.29,5.24,5.24,4.4,12.79
cts_estmmse30,0.7,3.55,8.72,6.02,9.14,6.25,5.6,6.26,7.01,6.45,8.13,7.84,6.02,5.9,8.25,11.0,10.96,10.25,9.95,6.92,8.72
r_stroke,5.69,8.1,8.0,8.85,11.69,13.01,18.26,16.09,20.62,21.69,22.8,21.75,27.83,21.18,32.15,34.15,32.14,26.42,18.32,4.72,6.4
sbp_avg,4.13,7.67,12.69,11.24,16.52,14.21,17.41,13.85,16.84,14.64,19.76,17.56,22.53,20.94,23.33,21.67,23.82,28.02,22.51,22.01,26.28
dbp_avg,4.43,8.0,12.95,11.5,16.77,14.52,17.54,13.9,16.89,14.64,19.76,17.56,22.53,20.94,23.33,21.67,23.82,28.02,22.51,22.01,26.28
bmi,3.12,15.08,13.33,16.62,18.48,27.11,19.97,32.38,21.13,30.34,23.18,33.07,25.23,38.27,27.03,36.45,28.92,41.0,27.23,47.17,44.53
psqi_sum,35.16,36.82,39.35,40.86,41.65,41.71,41.83,41.83,44.86,48.57,54.48,54.55,56.49,59.21,62.3,62.73,64.27,64.92,68.32,62.89,63.37
hdlchlstrl,39.88,42.58,48.56,48.57,51.38,47.88,42.47,42.98,41.13,37.79,43.47,43.85,46.0,44.65,47.51,48.44,49.53,51.48,46.6,46.23,50.0
gfr_mdrs,39.86,42.63,48.65,48.57,51.31,47.92,42.51,42.79,41.13,37.86,43.54,43.85,46.0,44.65,47.23,48.44,49.53,51.48,46.6,46.23,50.0
glucose,39.86,42.66,48.65,48.63,51.31,47.96,42.56,42.79,41.19,37.92,43.54,43.85,46.0,44.65,47.23,48.44,49.53,51.48,46.6,46.23,50.0
chf_cum,38.5,41.16,43.81,45.57,41.23,41.05,40.68,41.93,43.11,45.78,50.15,51.25,53.37,55.72,59.74,61.25,64.08,64.24,67.02,63.21,63.6
ldlchlstrl,40.45,43.02,49.05,48.76,51.66,48.47,42.77,43.17,41.36,38.46,43.62,44.3,46.52,44.89,47.94,49.43,50.85,51.48,46.6,46.54,50.35
hba1c,55.51,62.59,68.36,64.49,63.74,56.16,48.93,50.48,50.23,51.1,53.95,54.81,52.75,49.34,47.8,48.44,49.34,51.71,46.86,46.23,50.93
berlin_risk_class,80.67,82.27,84.48,82.74,82.85,83.22,79.38,80.56,77.4,78.38,75.46,78.52,75.29,79.3,78.09,79.8,75.24,77.22,73.56,70.75,71.86
log_hil6,98.15,96.6,96.23,99.78,99.72,99.69,98.2,99.24,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
log_htnfa,98.15,96.6,96.23,99.78,99.72,99.69,98.2,99.24,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
log_hcrp,98.15,96.6,96.23,99.78,99.72,99.69,98.2,99.24,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
