variable,pct_missing_fu0_2,pct_missing_fu10plus,drift,pct_missing_odd_cycles,pct_missing_even_cycles,odd_minus_even
psqi_sum,36.9,59.7,22.7,51.4,52.6,-1.2
bmi,10.1,32.4,22.4,31.7,22.7,9.0
chf_cum,40.9,57.4,16.4,51.1,51.5,-0.4
r_stroke,7.2,22.9,15.7,17.6,21.3,-3.7
sbp_avg,7.8,22.0,14.2,17.2,19.5,-2.3
dbp_avg,8.1,22.0,13.9,17.3,19.6,-2.3
cogn_global,0.9,6.3,5.4,4.3,4.4,-0.1
r_depres,1.8,6.4,4.6,4.2,4.8,-0.6
cts_estmmse30,4.0,8.2,4.2,7.0,8.2,-1.2
hdlchlstrl,43.3,46.5,3.1,45.4,46.3,-0.9
gfr_mdrs,43.4,46.4,3.1,45.4,46.3,-0.8
glucose,43.4,46.4,3.1,45.5,46.3,-0.8
ldlchlstrl,43.8,46.9,3.0,45.8,46.7,-0.9
log_htnfa,97.1,100.0,2.9,99.5,99.4,0.2
log_hcrp,97.1,100.0,2.9,99.5,99.4,0.2
log_hil6,97.1,100.0,2.9,99.5,99.4,0.2
hypertension_cum,0.6,2.5,1.9,1.8,2.8,-1.1
heart_cum,0.6,2.5,1.9,1.8,2.8,-1.1
claudication_cum,0.7,2.5,1.8,1.8,2.9,-1.1
antihyp_rx,0.2,1.0,0.8,0.5,1.3,-0.8
diabetes_rx,0.2,1.0,0.8,0.5,1.3,-0.8
statin_rx,0.2,1.0,0.8,0.5,1.3,-0.8
ad_rx,0.2,1.0,0.8,0.5,1.3,-0.8
dm_cum,0.2,1.0,0.8,0.5,1.3,-0.8
berlin_risk_class,82.3,76.2,-6.1,79.3,78.0,1.3
hba1c,61.6,51.1,-10.5,53.5,53.6,-0.0
