variable,pearson_r_with_ad_ever,n,flag_abs_gt_0p95
cogng_demog_slope,-0.4901,4005,False
tangsqrt_est_8reg,0.3261,2184,False
died,0.2985,4428,False
braaksc,0.2862,2207,False
ceradsc,-0.2577,2207,False
gpath,0.2553,1981,False
amylsqrt_est_8reg,0.2532,2183,False
tdp_st4,0.2496,2099,False
lewydx_st4,0.1527,2122,False
caa_4gp,0.1422,2174,False
cvda_4gp2,0.1225,2208,False
age_bl,0.1146,4428,False
arteriol_scler,0.1042,2194,False
ci_num2_tct,0.0935,2192,False
ci_num2_mct,0.0746,2192,False
apoe_genotype,0.0536,3227,False
smoking_bl,-0.0528,4410,False
ldai_bl,-0.0392,4401,False
educ,0.0287,4428,False
pmi,-0.0251,2225,False
msex,-0.0203,4428,False
