variable,scheme,n_bins,max_bin_share_pct,entropy_bits,max_entropy_bits,degenerate_gt70pct
cogn_global,equal_width,4,51.7,1.332,2.0,False
cogn_global,equal_width,10,38.28,2.3,3.322,False
cogn_global,quantile,4,25.0,2.0,2.0,False
cogn_global,quantile,10,10.0,3.322,3.322,False
cts_estmmse30,equal_width,4,87.32,0.716,2.0,True
cts_estmmse30,equal_width,10,72.32,1.509,3.322,True
cts_estmmse30,quantile,4,46.55,1.836,2.0,False
cts_estmmse30,quantile,10,24.07,2.681,3.322,False
bmi,equal_width,4,68.57,1.197,2.0,False
bmi,equal_width,10,33.19,2.25,3.322,False
bmi,quantile,4,25.01,2.0,2.0,False
bmi,quantile,10,10.12,3.322,3.322,False
sbp_avg,equal_width,4,69.64,1.15,2.0,False
sbp_avg,equal_width,10,31.26,2.328,3.322,False
sbp_avg,quantile,4,25.72,2.0,2.0,False
sbp_avg,quantile,10,10.5,3.321,3.322,False
r_stroke,native_levels,4,93.87,0.419,2.0,True
r_depres,native_levels,4,93.67,0.429,2.0,True
hypertension_cum,native_levels,2,59.88,0.972,1.0,False
dm_cum,native_levels,2,80.73,0.707,1.0,True
chf_cum,native_levels,2,92.51,0.384,1.0,True
claudication_cum,native_levels,2,80.7,0.708,1.0,True
heart_cum,native_levels,2,88.54,0.514,1.0,True
antihyp_rx,native_levels,2,52.09,0.999,1.0,False
diabetes_rx,native_levels,2,87.9,0.532,1.0,True
statin_rx,native_levels,2,61.8,0.959,1.0,False
ad_rx,native_levels,2,92.79,0.374,1.0,True
berlin_risk_class,native_levels,2,59.18,0.976,1.0,False
