token,auc,age,n_healthy,n_diseased,auc_delong,auc_variance_delong,sex,offset_days,index,ICD-10 Chapter (short),name,color,count
34,0.80640244,65,164,2,0.80640244,0.03328245590586839,female,365.25,34,Events,AD_DX,#d62728,1034.0
34,0.80794704,70,151,5,0.80794704,0.021514050579299015,female,365.25,34,Events,AD_DX,#d62728,1034.0
34,0.8063776,75,140,14,0.8063776,0.005033518436825712,female,365.25,34,Events,AD_DX,#d62728,1034.0
34,0.76884776,80,111,19,0.76884776,0.004652235685884396,female,365.25,34,Events,AD_DX,#d62728,1034.0
34,0.7843882,85,79,30,0.7843882,0.0029775069653739336,female,365.25,34,Events,AD_DX,#d62728,1034.0
34,0.8029556,90,29,21,0.8029556,0.00391007207858039,female,365.25,34,Events,AD_DX,#d62728,1034.0
34,0.70000005,95,8,5,0.70000005,0.03138392925262454,female,365.25,34,Events,AD_DX,#d62728,1034.0
35,0.5796703,65,182,6,0.5796703,0.014396900621531306,female,365.25,35,Events,STROKE,#d62728,1049.0
35,0.430625,70,160,10,0.430625,0.00625383614858426,female,365.25,35,Events,STROKE,#d62728,1049.0
35,0.43859875,75,157,25,0.43859875,0.00424606262443819,female,365.25,35,Events,STROKE,#d62728,1049.0
35,0.64615387,80,130,15,0.64615387,0.008052368553932833,female,365.25,35,Events,STROKE,#d62728,1049.0
35,0.30920315,85,99,9,0.30920315,0.009422922081254418,female,365.25,35,Events,STROKE,#d62728,1049.0
35,0.74489796,90,49,4,0.74489796,0.00847520135673041,female,365.25,35,Events,STROKE,#d62728,1049.0
35,0.41666666,95,18,2,0.41666666,0.014251997003151873,female,365.25,35,Events,STROKE,#d62728,1049.0
36,0.68266255,65,171,17,0.68266255,0.006986798722314665,female,365.25,36,Events,DEPRESSION,#d62728,1105.0
36,0.58358896,70,163,8,0.58358896,0.015821791983535605,female,365.25,36,Events,DEPRESSION,#d62728,1105.0
36,0.55116034,75,158,18,0.55116034,0.00448653098609072,female,365.25,36,Events,DEPRESSION,#d62728,1105.0
36,0.6450122,80,137,15,0.6450122,0.006565596705021241,female,365.25,36,Events,DEPRESSION,#d62728,1105.0
36,0.53980577,85,103,10,0.53980577,0.006637720138385143,female,365.25,36,Events,DEPRESSION,#d62728,1105.0
36,0.7414286,90,50,7,0.7414286,0.010747910788658227,female,365.25,36,Events,DEPRESSION,#d62728,1105.0
37,0.76294196,65,198,8,0.76294196,0.010714354743035594,female,365.25,37,Events,HTN_ONSET,#d62728,591.0
37,0.74529195,70,177,6,0.74529195,0.006306908400205089,female,365.25,37,Events,HTN_ONSET,#d62728,591.0
37,0.7291826,75,187,14,0.7291826,0.005968066187299782,female,365.25,37,Events,HTN_ONSET,#d62728,591.0
37,0.711478,80,159,8,0.711478,0.013124323871852375,female,365.25,37,Events,HTN_ONSET,#d62728,591.0
37,0.6939655,85,116,6,0.6939655,0.014735627633822896,female,365.25,37,Events,HTN_ONSET,#d62728,591.0
37,0.5219298,90,57,4,0.5219298,0.03160588074247359,female,365.25,37,Events,HTN_ONSET,#d62728,591.0
38,0.88862556,65,211,3,0.88862556,0.0013991251908547877,female,365.25,38,Events,DM_ONSET,#d62728,335.0
38,0.9006734,70,198,3,0.9006734,0.009025865187088918,female,365.25,38,Events,DM_ONSET,#d62728,335.0
38,0.78717947,75,195,5,0.78717947,0.0061122155448283325,female,365.25,38,Events,DM_ONSET,#d62728,335.0
38,0.7238372,80,172,9,0.7238372,0.0037900126994965195,female,365.25,38,Events,DM_ONSET,#d62728,335.0
38,0.67288554,85,134,3,0.67288554,0.03210509596791859,female,365.25,38,Events,DM_ONSET,#d62728,335.0
39,0.96875,75,208,2,0.96875,0.0002616781095955247,female,365.25,39,Events,CHF_ONSET,#d62728,189.0
39,0.9751381,80,181,2,0.9751381,0.0001346452240162348,female,365.25,39,Events,CHF_ONSET,#d62728,189.0
39,0.79316545,85,139,6,0.79316545,0.0014761790192524822,female,365.25,39,Events,CHF_ONSET,#d62728,189.0
39,0.7025641,90,65,3,0.7025641,0.02845496338617641,female,365.25,39,Events,CHF_ONSET,#d62728,189.0
40,0.8459596,65,198,3,0.8459596,0.01879353151905904,female,365.25,40,Events,CLAUD_ONSET,#d62728,628.0
40,0.7774675,70,179,12,0.7774675,0.007856301329125253,female,365.25,40,Events,CLAUD_ONSET,#d62728,628.0
40,0.7331049,75,169,19,0.7331049,0.002745953404723751,female,365.25,40,Events,CLAUD_ONSET,#d62728,628.0
40,0.7228164,80,153,11,0.7228164,0.002537050659375185,female,365.25,40,Events,CLAUD_ONSET,#d62728,628.0
40,0.70000005,85,120,4,0.70000005,0.006848812764501904,female,365.25,40,Events,CLAUD_ONSET,#d62728,628.0
40,0.78125,90,64,2,0.78125,0.021371992807539684,female,365.25,40,Events,CLAUD_ONSET,#d62728,628.0
41,0.8185185,65,225,3,0.8185185,0.018080082180578733,female,365.25,41,Events,HEART_ONSET,#d62728,220.0
41,0.8074433,70,206,3,0.8074433,0.001368015648347866,female,365.25,41,Events,HEART_ONSET,#d62728,220.0
41,0.86650485,75,206,2,0.86650485,0.0006819451641599195,female,365.25,41,Events,HEART_ONSET,#d62728,220.0
41,0.74316937,80,183,4,0.74316937,0.018701840360206057,female,365.25,41,Events,HEART_ONSET,#d62728,220.0
41,0.826087,95,23,2,0.826087,0.007432547646467068,female,365.25,41,Events,HEART_ONSET,#d62728,220.0
42,0.64111656,65,61,37,0.64111656,0.0033858310816710794,female,365.25,42,Medications,ANTIHYP_ON,#1f77b4,2819.0
42,0.48507786,70,68,34,0.48507786,0.0037977261404764963,female,365.25,42,Medications,ANTIHYP_ON,#1f77b4,2819.0
42,0.37461084,75,59,49,0.37461084,0.003113394277922802,female,365.25,42,Medications,ANTIHYP_ON,#1f77b4,2819.0
42,0.40710783,80,51,40,0.40710783,0.0039521829953530156,female,365.25,42,Medications,ANTIHYP_ON,#1f77b4,2819.0
42,0.35742188,85,32,24,0.35742188,0.007088649125683802,female,365.25,42,Medications,ANTIHYP_ON,#1f77b4,2819.0
42,0.18888885,90,9,10,0.18888885,0.010610424992519851,female,365.25,42,Medications,ANTIHYP_ON,#1f77b4,2819.0
43,0.9165061,65,173,9,0.9165061,0.0008342071023392648,female,365.25,43,Medications,ANTIHYP_OFF,#1f77b4,1169.0
43,0.843871,70,155,15,0.843871,0.003241443111645205,female,365.25,43,Medications,ANTIHYP_OFF,#1f77b4,1169.0
43,0.8023369,75,158,13,0.8023369,0.00305788707326146,female,365.25,43,Medications,ANTIHYP_OFF,#1f77b4,1169.0
43,0.7654321,80,135,15,0.7654321,0.003242929830269131,female,365.25,43,Medications,ANTIHYP_OFF,#1f77b4,1169.0
43,0.7330357,85,105,16,0.7330357,0.00477068546587837,female,365.25,43,Medications,ANTIHYP_OFF,#1f77b4,1169.0
