token,auc,age,n_healthy,n_diseased,auc_delong,auc_variance_delong,sex,offset_days,index,ICD-10 Chapter (short),name,color,count
34,0.94325155,70,163,4,0.94325155,0.0006370845512883422,female,0.1,34,Events,AD_DX,#d62728,1034.0
34,0.96444446,75,150,12,0.96444446,0.000322359373372328,female,0.1,34,Events,AD_DX,#d62728,1034.0
34,0.94196427,80,120,14,0.94196427,0.0005295757730371952,female,0.1,34,Events,AD_DX,#d62728,1034.0
34,0.87418246,85,83,35,0.87418246,0.0010757995503395269,female,0.1,34,Events,AD_DX,#d62728,1034.0
34,0.8843537,90,42,21,0.8843537,0.001917046430099054,female,0.1,34,Events,AD_DX,#d62728,1034.0
34,0.7777778,95,8,9,0.7777778,0.017416226012366157,female,0.1,34,Events,AD_DX,#d62728,1034.0
35,0.6721312,65,183,5,0.6721312,0.02025144054652191,female,0.1,35,Events,STROKE,#d62728,1049.0
35,0.52658165,70,171,11,0.52658165,0.00966366703497266,female,0.1,35,Events,STROKE,#d62728,1049.0
35,0.5208105,75,166,22,0.5208105,0.005395210223326011,female,0.1,35,Events,STROKE,#d62728,1049.0
35,0.61956525,80,138,17,0.61956525,0.005643210944128622,female,0.1,35,Events,STROKE,#d62728,1049.0
35,0.37538227,85,109,12,0.37538227,0.011959548855132432,female,0.1,35,Events,STROKE,#d62728,1049.0
35,0.5828125,90,64,5,0.5828125,0.01626317592402403,female,0.1,35,Events,STROKE,#d62728,1049.0
35,0.64772725,95,22,2,0.64772725,0.011080775100595608,female,0.1,35,Events,STROKE,#d62728,1049.0
36,0.74317527,65,174,16,0.74317527,0.005424728057227256,female,0.1,36,Events,DEPRESSION,#d62728,1105.0
36,0.722872,70,171,9,0.722872,0.012184331393300794,female,0.1,36,Events,DEPRESSION,#d62728,1105.0
36,0.6413601,75,167,14,0.6413601,0.005296639626208571,female,0.1,36,Events,DEPRESSION,#d62728,1105.0
36,0.69691473,80,145,19,0.69691473,0.0024247842876198443,female,0.1,36,Events,DEPRESSION,#d62728,1105.0
36,0.4863234,85,113,11,0.4863234,0.009834323099425928,female,0.1,36,Events,DEPRESSION,#d62728,1105.0
36,0.668376,90,65,9,0.668376,0.011008679443080859,female,0.1,36,Events,DEPRESSION,#d62728,1105.0
37,0.9358334,65,200,6,0.9358334,0.0012555181029838634,female,0.1,37,Events,HTN_ONSET,#d62728,591.0
37,0.7978723,70,188,5,0.7978723,0.003496753952719989,female,0.1,37,Events,HTN_ONSET,#d62728,591.0
37,0.8729604,75,195,11,0.8729604,0.0018295903065216057,female,0.1,37,Events,HTN_ONSET,#d62728,591.0
37,0.75277776,80,168,15,0.75277776,0.0032067929244936353,female,0.1,37,Events,HTN_ONSET,#d62728,591.0
37,0.84453124,85,128,5,0.84453124,0.003208055889100345,female,0.1,37,Events,HTN_ONSET,#d62728,591.0
37,0.66891897,90,74,5,0.66891897,0.016451339643156294,female,0.1,37,Events,HTN_ONSET,#d62728,591.0
37,0.5909091,95,22,2,0.5909091,0.05775284951289596,female,0.1,37,Events,HTN_ONSET,#d62728,591.0
38,0.8785047,65,214,3,0.8785047,0.0005591920652702247,female,0.1,38,Events,DM_ONSET,#d62728,335.0
38,0.9484127,70,210,3,0.9484127,0.001772896264024474,female,0.1,38,Events,DM_ONSET,#d62728,335.0
38,0.8666667,75,205,3,0.8666667,0.009503887345738619,female,0.1,38,Events,DM_ONSET,#d62728,335.0
38,0.7455045,80,182,11,0.7455045,0.0033467088248872448,female,0.1,38,Events,DM_ONSET,#d62728,335.0
38,0.6027397,85,146,2,0.6027397,0.005238739636907039,female,0.1,38,Events,DM_ONSET,#d62728,335.0
39,0.9403669,75,218,2,0.9403669,0.0036771124081497316,female,0.1,39,Events,CHF_ONSET,#d62728,189.0
39,0.9620419,80,191,2,0.9620419,0.0015314028040703809,female,0.1,39,Events,CHF_ONSET,#d62728,189.0
39,0.8344298,85,152,3,0.8344298,0.0024597177622270802,female,0.1,39,Events,CHF_ONSET,#d62728,189.0
39,0.7083333,90,86,6,0.7083333,0.007480217432721587,female,0.1,39,Events,CHF_ONSET,#d62728,189.0
40,0.8930348,65,201,2,0.8930348,0.003075915635545594,female,0.1,40,Events,CLAUD_ONSET,#d62728,628.0
