token,name,ICD-10 Chapter (short),count,auc,auc_ci95,n_diseased,n_healthy,n_samples
49,ADRX_OFF,Medications,250.0,0.9245250821113586,0.0630750208723456,27.0,867.0,7.0
47,DIABRX_OFF,Medications,272.0,0.9046443104743958,0.08430358524469966,28.0,1051.0,7.0
89,IL6_q2,Clinical measures,131.0,0.8400964140892029,0.2735519126178806,6.0,465.0,3.0
39,CHF_ONSET,Events,189.0,0.837923526763916,0.09130445724437088,15.0,673.0,5.0
41,HEART_ONSET,Events,220.0,0.8141489028930664,0.07242578228261164,17.0,925.0,6.0
45,STATIN_OFF,Medications,984.0,0.8073186278343201,0.049966239312304365,106.0,1036.0,12.0
40,CLAUD_ONSET,Events,628.0,0.789225697517395,0.0562045255439987,64.0,1141.0,10.0
43,ANTIHYP_OFF,Medications,1169.0,0.7733831405639648,0.04350366227481766,120.0,1026.0,13.0
82,PSQI_verypoor,Clinical measures,140.0,0.769572913646698,0.1745526600568679,11.0,531.0,3.0
94,Death,Death,2479.0,0.7601220011711121,0.06082480070317004,258.0,460.0,12.0
38,DM_ONSET,Events,335.0,0.7520619630813599,0.07234467770619944,33.0,1100.0,8.0
34,AD_DX,Events,1034.0,0.7263972163200378,0.082073441355608,129.0,896.0,12.0
37,HTN_ONSET,Events,591.0,0.7017838954925537,0.07798998788474973,57.0,1180.0,10.0
87,CRP_q3,Clinical measures,134.0,0.667557954788208,0.548923644136162,3.0,187.0,1.0
77,COGN_low,Clinical measures,1268.0,0.6673610806465149,0.07015345002431803,124.0,929.0,12.0
86,CRP_q2,Clinical measures,125.0,0.6629802584648132,0.09791121236161786,13.0,621.0,5.0
58,DBP_high,Clinical measures,1087.0,0.6587801575660706,0.0613940071683842,104.0,1015.0,11.0
64,HBA1C_diabetic,Clinical measures,547.0,0.6540720462799072,0.11595781783176061,51.0,1103.0,9.0
36,DEPRESSION,Events,1105.0,0.6511769890785217,0.09297060319470399,97.0,1103.0,12.0
93,TNFA_q3,Clinical measures,132.0,0.6498656272888184,0.42686283462777924,4.0,186.0,1.0
92,TNFA_q2,Clinical measures,128.0,0.6437464356422424,0.11221329672043623,10.0,585.0,4.0
81,PSQI_poor,Clinical measures,816.0,0.6325638294219971,0.07835483334921482,79.0,991.0,9.0
63,HBA1C_pre,Clinical measures,2005.0,0.6316152215003967,0.07240442008815541,190.0,746.0,13.0
48,ADRX_ON,Medications,673.0,0.6247673630714417,0.08200298057726278,64.0,1138.0,11.0
75,MMSE_borderline,Clinical measures,1983.0,0.6162043213844299,0.08178567712684708,198.0,703.0,13.0
53,SBP_normal,Clinical measures,2472.0,0.6064541339874268,0.06786810933922642,245.0,493.0,13.0
60,GLU_pre,Clinical measures,2020.0,0.6056296229362488,0.06557514309802026,203.0,660.0,12.0
84,APNEA_high,Clinical measures,998.0,0.6034479737281799,0.07198494099984083,110.0,1047.0,12.0
83,APNEA_low,Clinical measures,1291.0,0.6023021340370178,0.081894744324159,131.0,925.0,11.0
73,GFR_normal,Clinical measures,767.0,0.5996900200843811,0.06655431308179079,68.0,1150.0,10.0
74,MMSE_impaired,Clinical measures,1485.0,0.5799372792243958,0.06819898854577901,153.0,816.0,12.0
57,DBP_elevated,Clinical measures,2357.0,0.5788922309875488,0.055380557546985384,228.0,536.0,11.0
62,HBA1C_normal,Clinical measures,1648.0,0.5714353322982788,0.0932974995159291,172.0,829.0,12.0
46,DIABRX_ON,Medications,736.0,0.5480040311813354,0.1230463387991456,59.0,1173.0,10.0
61,GLU_diabetic,Clinical measures,1388.0,0.5449433922767639,0.0876653085165977,141.0,868.0,12.0
70,LDL_high,Clinical measures,421.0,0.5294457077980042,0.10250372772099393,37.0,930.0,6.0
90,IL6_q3,Clinical measures,130.0,0.5288921594619751,0.34022736314768853,8.0,478.0,3.0
50,BMI_low,Clinical measures,1013.0,0.5054906606674194,0.06629622775731242,93.0,1003.0,10.0
59,GLU_normal,Clinical measures,2587.0,0.5032356381416321,0.06524062482461755,235.0,511.0,11.0
65,HDL_low,Clinical measures,642.0,0.49999773502349854,0.0754403243123666,71.0,1151.0,11.0
68,LDL_optimal,Clinical measures,2490.0,0.49874117970466614,0.08952149277462562,241.0,530.0,13.0
72,GFR_mild,Clinical measures,2329.0,0.49439725279808044,0.06723647422084739,229.0,560.0,12.0
35,STROKE,Events,1049.0,0.4936637580394745,0.09014581612115463,100.0,1066.0,12.0
66,HDL_mid,Clinical measures,2153.0,0.48913928866386414,0.0645094164438202,194.0,690.0,13.0
44,STATIN_ON,Medications,2132.0,0.48322179913520813,0.08986819662869833,188.0,737.0,13.0
56,DBP_normal,Clinical measures,3644.0,0.48031365871429443,0.12724864006079883,297.0,90.0,8.0
85,CRP_q1,Clinical measures,131.0,0.4728465676307678,0.20945967683435693,5.0,442.0,2.0
55,SBP_high,Clinical measures,2596.0,0.46632203459739685,0.09066361330985201,237.0,471.0,12.0
78,COGN_mid,Clinical measures,2571.0,0.4650387465953827,0.0713718757318976,258.0,457.0,13.0
