token,name,ICD-10 Chapter (short),count,auc,auc_ci95,n_diseased,n_healthy,n_samples
87,CRP_q3,Clinical measures,134.0,0.9923858046531677,0.012154163865139046,4.0,197.0,1.0
47,DIABRX_OFF,Medications,272.0,0.9826357364654541,0.009775694613127547,29.0,1152.0,8.0
86,CRP_q2,Clinical measures,125.0,0.9804494976997375,0.016914936736136987,13.0,662.0,5.0
49,ADRX_OFF,Medications,250.0,0.9776769876480103,0.016061430212633423,26.0,935.0,7.0
89,IL6_q2,Clinical measures,131.0,0.9725525379180908,0.038895832042941864,7.0,508.0,3.0
45,STATIN_OFF,Medications,984.0,0.9353505373001099,0.02002163635520297,110.0,1169.0,13.0
85,CRP_q1,Clinical measures,131.0,0.8839771151542664,0.15509113030310231,6.0,381.0,2.0
92,TNFA_q2,Clinical measures,128.0,0.8784230947494507,0.03625549367521369,11.0,669.0,5.0
34,AD_DX,Events,1034.0,0.8742026686668396,0.057631950461324875,129.0,807.0,12.0
43,ANTIHYP_OFF,Medications,1169.0,0.8558981418609619,0.0353766209016685,121.0,1102.0,13.0
39,CHF_ONSET,Events,189.0,0.8119258880615234,0.05275155187019077,15.0,730.0,5.0
37,HTN_ONSET,Events,591.0,0.8107954859733582,0.06627342020907048,58.0,1191.0,10.0
82,PSQI_verypoor,Clinical measures,140.0,0.8002057671546936,0.15968180642243288,11.0,563.0,3.0
94,Death,Death,2479.0,0.7915008664131165,0.04309107743488578,250.0,509.0,12.0
38,DM_ONSET,Events,335.0,0.7686343789100647,0.06889208051899258,36.0,1259.0,10.0
40,CLAUD_ONSET,Events,628.0,0.7594185471534729,0.04759800275218899,65.0,1219.0,10.0
90,IL6_q3,Clinical measures,130.0,0.7081277370452881,0.3120024417494312,8.0,435.0,3.0
81,PSQI_poor,Clinical measures,816.0,0.7026627659797668,0.06753307986831042,83.0,1081.0,10.0
88,IL6_q1,Clinical measures,129.0,0.692593514919281,0.1576106084710314,10.0,653.0,4.0
41,HEART_ONSET,Events,220.0,0.6918855309486389,0.08592284477001404,18.0,982.0,7.0
93,TNFA_q3,Clinical measures,132.0,0.6918367743492126,0.35206541140111797,5.0,196.0,1.0
75,MMSE_borderline,Clinical measures,1983.0,0.6889628171920776,0.054295604491938404,201.0,760.0,13.0
77,COGN_low,Clinical measures,1268.0,0.6887025833129883,0.08369060551395462,123.0,940.0,11.0
84,APNEA_high,Clinical measures,998.0,0.6868078112602234,0.06984744487598012,112.0,1120.0,12.0
48,ADRX_ON,Medications,673.0,0.6807591915130615,0.10019639188392411,66.0,1225.0,11.0
36,DEPRESSION,Events,1105.0,0.6765847206115723,0.056563444080872716,101.0,1171.0,12.0
91,TNFA_q1,Clinical measures,130.0,0.6756654381752014,0.17835390417192612,9.0,654.0,4.0
58,DBP_high,Clinical measures,1087.0,0.6749343872070312,0.07168716673191403,115.0,1081.0,11.0
83,APNEA_low,Clinical measures,1291.0,0.6690732836723328,0.08676105794667846,137.0,985.0,11.0
74,MMSE_impaired,Clinical measures,1485.0,0.667842447757721,0.07580999486739388,157.0,875.0,13.0
63,HBA1C_pre,Clinical measures,2005.0,0.6672544479370117,0.055041713624551215,197.0,801.0,13.0
60,GLU_pre,Clinical measures,2020.0,0.6632401943206787,0.05316592218328809,209.0,721.0,13.0
53,SBP_normal,Clinical measures,2472.0,0.6565675735473633,0.06226465084275659,252.0,535.0,13.0
64,HBA1C_diabetic,Clinical measures,547.0,0.6551340818405151,0.13728432530379442,55.0,1223.0,11.0
70,LDL_high,Clinical measures,421.0,0.6497203707695007,0.09000043264222507,38.0,992.0,6.0
57,DBP_elevated,Clinical measures,2357.0,0.6410024762153625,0.06427915517704688,243.0,583.0,12.0
59,GLU_normal,Clinical measures,2587.0,0.6235036849975586,0.0572765523080259,252.0,558.0,12.0
73,GFR_normal,Clinical measures,767.0,0.6185234189033508,0.06844271320620753,69.0,1154.0,9.0
61,GLU_diabetic,Clinical measures,1388.0,0.6167014241218567,0.06087563817460068,144.0,933.0,12.0
50,BMI_low,Clinical measures,1013.0,0.5947889685630798,0.05620348000543967,98.0,1070.0,11.0
62,HBA1C_normal,Clinical measures,1648.0,0.582410991191864,0.07714866351391227,175.0,877.0,12.0
