token,auc,age,n_healthy,n_diseased,auc_delong,auc_variance_delong,sex,offset_days,index,ICD-10 Chapter (short),name,color,count
34,0.93599397,70,166,4,0.93599397,0.0011123976084551424,female,0.1,34,Events,AD_DX,#d62728,1034.0
34,0.92721516,75,158,12,0.92721516,0.0009519774289202302,female,0.1,34,Events,AD_DX,#d62728,1034.0
34,0.9299344,80,129,13,0.9299344,0.0008039969954491123,female,0.1,34,Events,AD_DX,#d62728,1034.0
34,0.8481482,85,90,36,0.8481482,0.00120280526455479,female,0.1,34,Events,AD_DX,#d62728,1034.0
34,0.872692,90,49,21,0.872692,0.0017497750100837319,female,0.1,34,Events,AD_DX,#d62728,1034.0
34,0.84848475,95,11,9,0.84848475,0.007560453014542388,female,0.1,34,Events,AD_DX,#d62728,1034.0
35,0.62282604,65,184,5,0.62282604,0.02304019443061877,female,0.1,35,Events,STROKE,#d62728,1049.0
35,0.5386625,70,174,11,0.5386625,0.01046889681736606,female,0.1,35,Events,STROKE,#d62728,1049.0
35,0.50361276,75,173,20,0.50361276,0.0068709229023384754,female,0.1,35,Events,STROKE,#d62728,1049.0
35,0.6548423,80,148,18,0.6548423,0.005423591270353502,female,0.1,35,Events,STROKE,#d62728,1049.0
35,0.44510192,85,117,13,0.44510192,0.012289995081730789,female,0.1,35,Events,STROKE,#d62728,1049.0
35,0.76086956,90,69,5,0.76086956,0.006448101816735978,female,0.1,35,Events,STROKE,#d62728,1049.0
36,0.7375,65,176,15,0.7375,0.0062943433648112055,female,0.1,36,Events,DEPRESSION,#d62728,1105.0
36,0.74233717,70,174,9,0.74233717,0.008155367296859445,female,0.1,36,Events,DEPRESSION,#d62728,1105.0
36,0.63140655,75,173,15,0.63140655,0.005566151857736804,female,0.1,36,Events,DEPRESSION,#d62728,1105.0
36,0.75054467,80,153,18,0.75054467,0.002284160279768511,female,0.1,36,Events,DEPRESSION,#d62728,1105.0
36,0.5544078,85,121,12,0.5544078,0.0075121040046696504,female,0.1,36,Events,DEPRESSION,#d62728,1105.0
36,0.60250396,90,71,9,0.60250396,0.00634917582860269,female,0.1,36,Events,DEPRESSION,#d62728,1105.0
37,0.9049505,65,202,5,0.9049505,0.001640047444399977,female,0.1,37,Events,HTN_ONSET,#d62728,591.0
37,0.86998254,70,191,6,0.86998254,0.0025990782308401576,female,0.1,37,Events,HTN_ONSET,#d62728,591.0
37,0.9323432,75,202,9,0.9323432,0.000702764096839705,female,0.1,37,Events,HTN_ONSET,#d62728,591.0
