token,name,ICD-10 Chapter (short),count,auc,auc_ci95,n_diseased,n_healthy,n_samples
49,ADRX_OFF,Medications,250.0,0.9409078359603882,0.03441020314366388,27.0,905.0,7.0
47,DIABRX_OFF,Medications,272.0,0.87747722864151,0.09059798634391164,28.0,1092.0,7.0
38,DM_ONSET,Events,335.0,0.851130485534668,0.06308223307917656,32.0,1138.0,8.0
76,MMSE_normal,Clinical measures,22036.0,0.8260026574134827,0.03215709797923456,886.0,147.0,13.0
79,COGN_high,Clinical measures,18651.0,0.8254896402359009,0.03035674279848259,700.0,431.0,13.0
82,PSQI_verypoor,Clinical measures,140.0,0.813228189945221,0.12544198236867596,11.0,559.0,3.0
45,STATIN_OFF,Medications,984.0,0.8128653168678284,0.048517466769191456,106.0,1078.0,12.0
41,HEART_ONSET,Events,220.0,0.8113786578178406,0.067223360538406,17.0,949.0,6.0
89,IL6_q2,Clinical measures,131.0,0.8091112971305847,0.25537390270162735,6.0,484.0,3.0
39,CHF_ONSET,Events,189.0,0.8054696917533875,0.09128061539464462,15.0,708.0,5.0
37,HTN_ONSET,Events,591.0,0.7908779978752136,0.06471033725791708,55.0,1144.0,9.0
94,Death,Death,2479.0,0.7884488105773926,0.051511247142753576,257.0,492.0,12.0
43,ANTIHYP_OFF,Medications,1169.0,0.7707112431526184,0.04808049156951785,120.0,1060.0,13.0
77,COGN_low,Clinical measures,3491.0,0.7418487071990967,0.06406652494257277,180.0,968.0,13.0
40,CLAUD_ONSET,Events,628.0,0.7399889230728149,0.05989100489687087,64.0,1178.0,10.0
34,AD_DX,Events,1034.0,0.7399142384529114,0.07276816788809473,129.0,934.0,12.0
74,MMSE_impaired,Clinical measures,4437.0,0.7229918837547302,0.052460805819697136,246.0,852.0,12.0
86,CRP_q2,Clinical measures,125.0,0.7079708576202393,0.10145643131270429,13.0,642.0,5.0
75,MMSE_borderline,Clinical measures,4078.0,0.6800968647003174,0.0521836024130823,289.0,734.0,13.0
87,CRP_q3,Clinical measures,134.0,0.6741071343421936,0.40535981837724955,4.0,196.0,1.0
93,TNFA_q3,Clinical measures,132.0,0.6475515365600586,0.3757686951794641,4.0,194.0,1.0
58,DBP_high,Clinical measures,1087.0,0.6437060236930847,0.06408864007516933,104.0,1051.0,11.0
48,ADRX_ON,Medications,673.0,0.6436458230018616,0.08126351531661585,64.0,1181.0,11.0
