token,name,ICD-10 Chapter (short),count,auc,auc_ci95,n_diseased,n_healthy,n_samples
49,ADRX_OFF,Medications,250.0,0.9838563203811646,0.008240843566388649,26.0,975.0,7.0
47,DIABRX_OFF,Medications,272.0,0.983711838722229,0.009594296770010193,29.0,1195.0,8.0
87,CRP_q3,Clinical measures,134.0,0.9613527059555054,0.05680856281250811,4.0,207.0,1.0
86,CRP_q2,Clinical measures,125.0,0.9581019282341003,0.03210865480042347,13.0,688.0,5.0
89,IL6_q2,Clinical measures,131.0,0.9292295575141907,0.07333141950195837,7.0,531.0,3.0
85,CRP_q1,Clinical measures,131.0,0.9189573526382446,0.12247482343671515,6.0,396.0,2.0
45,STATIN_OFF,Medications,984.0,0.9166932702064514,0.022368499528768272,109.0,1142.0,12.0
92,TNFA_q2,Clinical measures,128.0,0.9051953554153442,0.056860342313800535,11.0,694.0,5.0
76,MMSE_normal,Clinical measures,22036.0,0.873212993144989,0.023280416830478268,936.0,163.0,14.0
79,COGN_high,Clinical measures,18651.0,0.8566945195198059,0.028284664163713075,728.0,470.0,14.0
88,IL6_q1,Clinical measures,129.0,0.8491876721382141,0.16337904141754736,10.0,681.0,4.0
38,DM_ONSET,Events,335.0,0.8443754315376282,0.05719998549752524,37.0,1387.0,11.0
34,AD_DX,Events,1034.0,0.8359084725379944,0.08864586516703327,129.0,854.0,12.0
37,HTN_ONSET,Events,591.0,0.8358379602432251,0.07717207259803528,58.0,1229.0,10.0
43,ANTIHYP_OFF,Medications,1169.0,0.8238817453384399,0.05144459000654114,122.0,1145.0,14.0
94,Death,Death,2479.0,0.7991843819618225,0.04809695156093584,255.0,438.0,12.0
91,TNFA_q1,Clinical measures,130.0,0.7943734526634216,0.13230216600067018,9.0,682.0,4.0
39,CHF_ONSET,Events,189.0,0.7924273014068604,0.11995712019898502,15.0,765.0,5.0
74,MMSE_impaired,Clinical measures,4437.0,0.7640138268470764,0.06972487639571756,251.0,922.0,13.0
75,MMSE_borderline,Clinical measures,4078.0,0.7472267150878906,0.04249204584204108,282.0,794.0,13.0
40,CLAUD_ONSET,Events,628.0,0.7371415495872498,0.05672919337520664,65.0,1253.0,10.0
90,IL6_q3,Clinical measures,130.0,0.7291805148124695,0.3299560475443609,8.0,453.0,3.0
41,HEART_ONSET,Events,220.0,0.7219845652580261,0.0745863785577799,18.0,1006.0,7.0
82,PSQI_verypoor,Clinical measures,140.0,0.7203190922737122,0.1072350618863861,11.0,588.0,3.0
77,COGN_low,Clinical measures,3491.0,0.7124912738800049,0.06692299140172378,185.0,992.0,12.0
48,ADRX_ON,Medications,673.0,0.6941074728965759,0.0778061870576116,64.0,1013.0,9.0
70,LDL_high,Clinical measures,421.0,0.6842999458312988,0.08873466954460199,38.0,1027.0,6.0
60,GLU_pre,Clinical measures,2020.0,0.6837736368179321,0.053851094917282204,209.0,750.0,13.0
63,HBA1C_pre,Clinical measures,2005.0,0.6756643056869507,0.06782832233288509,197.0,824.0,13.0
64,HBA1C_diabetic,Clinical measures,547.0,0.662247359752655,0.11316179715508894,55.0,1270.0,11.0
93,TNFA_q3,Clinical measures,132.0,0.6614634394645691,0.3273113100543356,5.0,205.0,1.0
58,DBP_high,Clinical measures,1087.0,0.6527204513549805,0.09914797190046025,115.0,1113.0,11.0
36,DEPRESSION,Events,1105.0,0.6476538777351379,0.051907690169804566,101.0,1212.0,12.0
57,DBP_elevated,Clinical measures,2357.0,0.6438007950782776,0.07797179511454137,243.0,602.0,12.0
73,GFR_normal,Clinical measures,767.0,0.6423414349555969,0.08459696235816713,68.0,1188.0,9.0
78,COGN_mid,Clinical measures,9494.0,0.6336182355880737,0.04572899314822338,516.0,525.0,14.0
53,SBP_normal,Clinical measures,2472.0,0.6302298307418823,0.05489745287980712,252.0,548.0,13.0
59,GLU_normal,Clinical measures,2587.0,0.6071450114250183,0.059939294654924376,252.0,583.0,12.0
62,HBA1C_normal,Clinical measures,1648.0,0.5933757424354553,0.09133001751669872,175.0,902.0,12.0
81,PSQI_poor,Clinical measures,816.0,0.5882841944694519,0.07991368299321945,83.0,1120.0,10.0
61,GLU_diabetic,Clinical measures,1388.0,0.5812340974807739,0.07101942618785835,144.0,973.0,12.0
84,APNEA_high,Clinical measures,998.0,0.5688455700874329,0.07981697521591623,112.0,1159.0,12.0
54,SBP_elevated,Clinical measures,3252.0,0.5639210939407349,0.09880454967263202,322.0,227.0,12.0
68,LDL_optimal,Clinical measures,2490.0,0.5518171787261963,0.0869595036964525,247.0,595.0,13.0
35,STROKE,Events,1049.0,0.546594500541687,0.09675447804560629,101.0,1152.0,11.0
50,BMI_low,Clinical measures,1013.0,0.5450819730758667,0.06797575306533185,96.0,1093.0,10.0
55,SBP_high,Clinical measures,2596.0,0.5414471626281738,0.06934063503894819,249.0,531.0,12.0
66,HDL_mid,Clinical measures,2153.0,0.537868857383728,0.06954873055544544,201.0,767.0,13.0
69,LDL_borderline,Clinical measures,2095.0,0.5356245636940002,0.06918220886084293,196.0,807.0,13.0
65,HDL_low,Clinical measures,642.0,0.5315925478935242,0.09447299606681454,71.0,1265.0,11.0
46,DIABRX_ON,Medications,736.0,0.5298467874526978,0.1075109726088588,65.0,1284.0,10.0
67,HDL_high,Clinical measures,2005.0,0.5267983078956604,0.09693115743332159,213.0,761.0,13.0
83,APNEA_low,Clinical measures,1291.0,0.5232810974121094,0.07595528805492636,137.0,1011.0,11.0
72,GFR_mild,Clinical measures,2329.0,0.5078747868537903,0.05730999164731442,237.0,612.0,12.0
56,DBP_normal,Clinical measures,3644.0,0.4959869384765625,0.10651514978215815,329.0,104.0,10.0
44,STATIN_ON,Medications,2132.0,0.4881875216960907,0.057011955746359484,194.0,806.0,12.0
71,GFR_ckd,Clinical measures,1766.0,0.4754932224750519,0.07506465825301249,163.0,907.0,13.0
42,ANTIHYP_ON,Medications,2819.0,0.4211660921573639,0.064984297171078,275.0,438.0,13.0
52,BMI_high,Clinical measures,2081.0,0.4172265827655792,0.05857254542401567,187.0,799.0,12.0
51,BMI_mid,Clinical measures,2560.0,0.3812956213951111,0.06523983889833784,250.0,506.0,13.0
80,PSQI_good,Clinical measures,2856.0,0.3419441878795624,0.06845724032626417,276.0,489.0,12.0
