token,name,ICD-10 Chapter (short),count,auc,auc_ci95,n_diseased,n_healthy,n_samples
92,TNFA_q2,Clinical measures,128.0,0.9039360880851746,0.051367265703459106,10.0,585.0,4.0
47,DIABRX_OFF,Medications,272.0,0.8910831809043884,0.08148172868173575,28.0,1051.0,7.0
49,ADRX_OFF,Medications,250.0,0.8835095167160034,0.12911542900496628,27.0,867.0,7.0
93,TNFA_q3,Clinical measures,132.0,0.8387097120285034,0.2682326301949378,4.0,186.0,1.0
89,IL6_q2,Clinical measures,131.0,0.8319990634918213,0.2458954261142938,6.0,465.0,3.0
82,PSQI_verypoor,Clinical measures,140.0,0.8234919905662537,0.12356709151338374,11.0,531.0,3.0
39,CHF_ONSET,Events,189.0,0.8070276975631714,0.0711473250450416,15.0,673.0,5.0
45,STATIN_OFF,Medications,984.0,0.8053712248802185,0.05278790361147347,106.0,1036.0,12.0
41,HEART_ONSET,Events,220.0,0.8035776019096375,0.08543769332102197,17.0,925.0,6.0
43,ANTIHYP_OFF,Medications,1169.0,0.7804974913597107,0.04656448176168996,120.0,1026.0,13.0
87,CRP_q3,Clinical measures,134.0,0.7771835923194885,0.375109353817572,3.0,187.0,1.0
38,DM_ONSET,Events,335.0,0.764225423336029,0.0723072239283036,33.0,1100.0,8.0
94,Death,Death,2479.0,0.7623591423034668,0.0466770986747895,258.0,460.0,12.0
40,CLAUD_ONSET,Events,628.0,0.7623308300971985,0.06634273192138893,64.0,1141.0,10.0
83,APNEA_low,Clinical measures,1291.0,0.7538551688194275,0.03981800115003969,131.0,925.0,11.0
84,APNEA_high,Clinical measures,998.0,0.7499792575836182,0.05105621688874467,110.0,1047.0,12.0
37,HTN_ONSET,Events,591.0,0.7349658608436584,0.08887762067036661,57.0,1180.0,10.0
86,CRP_q2,Clinical measures,125.0,0.7289289236068726,0.11084408404443283,13.0,621.0,5.0
34,AD_DX,Events,1034.0,0.7220808863639832,0.09935448426453404,129.0,896.0,12.0
80,PSQI_good,Clinical measures,2856.0,0.7109675407409668,0.03917499186736013,273.0,450.0,12.0
77,COGN_low,Clinical measures,1268.0,0.7038983702659607,0.06474306539477441,124.0,929.0,12.0
