token,name,ICD-10 Chapter (short),count,auc,auc_ci95,n_diseased,n_healthy,n_samples
92,TNFA_q2,Clinical measures,128.0,0.9958368539810181,0.007570957636495404,11.0,669.0,5.0
87,CRP_q3,Clinical measures,134.0,0.9911167025566101,0.018577682020021705,4.0,197.0,1.0
86,CRP_q2,Clinical measures,125.0,0.9865066409111023,0.01587408062626573,13.0,662.0,5.0
47,DIABRX_OFF,Medications,272.0,0.9862334132194519,0.008524606308885426,29.0,1152.0,8.0
89,IL6_q2,Clinical measures,131.0,0.9843022227287292,0.01756558756210882,7.0,508.0,3.0
49,ADRX_OFF,Medications,250.0,0.9702908396720886,0.018102960773636483,26.0,935.0,7.0
91,TNFA_q1,Clinical measures,130.0,0.9438707232475281,0.07913638940096995,9.0,654.0,4.0
45,STATIN_OFF,Medications,984.0,0.9311932325363159,0.020948365161969944,110.0,1169.0,13.0
85,CRP_q1,Clinical measures,131.0,0.9229719042778015,0.10844723329130133,6.0,381.0,2.0
88,IL6_q1,Clinical measures,129.0,0.9170777797698975,0.12908984856694722,10.0,653.0,4.0
43,ANTIHYP_OFF,Medications,1169.0,0.8788281679153442,0.0329896010905989,121.0,1102.0,13.0
93,TNFA_q3,Clinical measures,132.0,0.8693877458572388,0.210574578746272,5.0,196.0,1.0
82,PSQI_verypoor,Clinical measures,140.0,0.8586254119873047,0.10545646757331623,11.0,563.0,3.0
34,AD_DX,Events,1034.0,0.8483545780181885,0.05347027993052923,129.0,807.0,12.0
37,HTN_ONSET,Events,591.0,0.8225768208503723,0.04833309414411998,58.0,1191.0,10.0
39,CHF_ONSET,Events,189.0,0.8214424848556519,0.09066583946830868,15.0,730.0,5.0
94,Death,Death,2479.0,0.8064411282539368,0.039163256886502996,250.0,509.0,12.0
84,APNEA_high,Clinical measures,998.0,0.7925539612770081,0.05248203042501425,112.0,1120.0,12.0
83,APNEA_low,Clinical measures,1291.0,0.7871294617652893,0.03744798291263342,137.0,985.0,11.0
40,CLAUD_ONSET,Events,628.0,0.7588351368904114,0.05608053198898962,65.0,1219.0,10.0
38,DM_ONSET,Events,335.0,0.757649302482605,0.09291761078424399,36.0,1259.0,10.0
81,PSQI_poor,Clinical measures,816.0,0.7552204728126526,0.0634366427321838,83.0,1081.0,10.0
90,IL6_q3,Clinical measures,130.0,0.7547828555107117,0.34505127221110876,8.0,435.0,3.0
77,COGN_low,Clinical measures,1268.0,0.7322446703910828,0.07160695438135098,123.0,940.0,11.0
41,HEART_ONSET,Events,220.0,0.7279120087623596,0.12345702565802398,18.0,982.0,7.0
80,PSQI_good,Clinical measures,2856.0,0.7084019780158997,0.03979234148383731,276.0,475.0,12.0
36,DEPRESSION,Events,1105.0,0.699005126953125,0.05079069827508218,101.0,1171.0,12.0
48,ADRX_ON,Medications,673.0,0.6953036785125732,0.0905795056973207,66.0,1225.0,11.0
75,MMSE_borderline,Clinical measures,1983.0,0.6886733174324036,0.05374700637154041,201.0,760.0,13.0
58,DBP_high,Clinical measures,1087.0,0.6878290772438049,0.07339155634305217,115.0,1081.0,11.0
53,SBP_normal,Clinical measures,2472.0,0.6864354014396667,0.0597707215915984,252.0,535.0,13.0
74,MMSE_impaired,Clinical measures,1485.0,0.6845976114273071,0.06913236751519265,157.0,875.0,13.0
64,HBA1C_diabetic,Clinical measures,547.0,0.6811469793319702,0.1473721519212629,55.0,1223.0,11.0
60,GLU_pre,Clinical measures,2020.0,0.6752630472183228,0.05500975749679708,209.0,721.0,13.0
63,HBA1C_pre,Clinical measures,2005.0,0.6685850620269775,0.06185742543000774,197.0,801.0,13.0
70,LDL_high,Clinical measures,421.0,0.6594277620315552,0.14648342329436065,38.0,992.0,6.0
57,DBP_elevated,Clinical measures,2357.0,0.639718234539032,0.07274284639965059,243.0,583.0,12.0
62,HBA1C_normal,Clinical measures,1648.0,0.6302985548973083,0.08117743771884295,175.0,877.0,12.0
73,GFR_normal,Clinical measures,767.0,0.622468888759613,0.07605082355995217,69.0,1154.0,9.0
59,GLU_normal,Clinical measures,2587.0,0.6198011040687561,0.05580242256902432,252.0,558.0,12.0
61,GLU_diabetic,Clinical measures,1388.0,0.6121629476547241,0.06455281845138518,144.0,933.0,12.0
50,BMI_low,Clinical measures,1013.0,0.6060131192207336,0.058890619063128535,98.0,1070.0,11.0
79,COGN_high,Clinical measures,2714.0,0.6054092645645142,0.0494806269466741,248.0,447.0,12.0
69,LDL_borderline,Clinical measures,2095.0,0.5881778597831726,0.07999359691693408,197.0,784.0,13.0
67,HDL_high,Clinical measures,2005.0,0.5797461271286011,0.07921291460811523,213.0,734.0,13.0
68,LDL_optimal,Clinical measures,2490.0,0.5788524746894836,0.06711081400857533,247.0,570.0,13.0
71,GFR_ckd,Clinical measures,1766.0,0.5703516602516174,0.09950787908686884,163.0,863.0,13.0
55,SBP_high,Clinical measures,2596.0,0.5543329119682312,0.07341079966501024,249.0,511.0,12.0
76,MMSE_normal,Clinical measures,3508.0,0.5534110069274902,0.07034114271643635,322.0,151.0,12.0
72,GFR_mild,Clinical measures,2329.0,0.5466710329055786,0.05623892949991355,237.0,595.0,12.0
66,HDL_mid,Clinical measures,2153.0,0.5458614826202393,0.06325369730610031,201.0,738.0,13.0
65,HDL_low,Clinical measures,642.0,0.5398210287094116,0.07247869756121185,72.0,1225.0,11.0
54,SBP_elevated,Clinical measures,3252.0,0.5206779837608337,0.0796765690197427,323.0,221.0,12.0
46,DIABRX_ON,Medications,736.0,0.5188504457473755,0.09759383941983926,65.0,1244.0,10.0
35,STROKE,Events,1049.0,0.5124621987342834,0.10475617196744176,103.0,1136.0,12.0
78,COGN_mid,Clinical measures,2571.0,0.5056242942810059,0.06346954755663445,263.0,491.0,13.0
44,STATIN_ON,Medications,2132.0,0.47863879799842834,0.06033993969829511,194.0,776.0,12.0
56,DBP_normal,Clinical measures,3644.0,0.46327686309814453,0.06819539854040545,306.0,99.0,9.0
52,BMI_high,Clinical measures,2081.0,0.44602999091148376,0.056580597610176364,187.0,774.0,12.0
42,ANTIHYP_ON,Medications,2819.0,0.4082731604576111,0.059847885349655884,275.0,420.0,13.0
51,BMI_mid,Clinical measures,2560.0,0.3812306523323059,0.06414856602411584,250.0,489.0,13.0
