token,auc,age,n_healthy,n_diseased,auc_delong,auc_variance_delong,sex,offset_days,index,ICD-10 Chapter (short),name,color,count
34,0.67835367,65,164,2,0.67835367,0.07997867184765603,female,365.25,34,Events,AD_DX,#d62728,1034.0
34,0.86754966,70,151,5,0.86754966,0.008931350305039634,female,365.25,34,Events,AD_DX,#d62728,1034.0
34,0.8130102,75,140,14,0.8130102,0.004715285189500748,female,365.25,34,Events,AD_DX,#d62728,1034.0
34,0.76695114,80,111,19,0.76695114,0.004450730481153886,female,365.25,34,Events,AD_DX,#d62728,1034.0
34,0.7864979,85,79,30,0.7864979,0.002994076926544505,female,365.25,34,Events,AD_DX,#d62728,1034.0
34,0.8045976,90,29,21,0.8045976,0.0038598441676851313,female,365.25,34,Events,AD_DX,#d62728,1034.0
34,0.85,95,8,5,0.85,0.017187499701976784,female,365.25,34,Events,AD_DX,#d62728,1034.0
35,0.5352564,65,182,6,0.5352564,0.01673315357762132,female,365.25,35,Events,STROKE,#d62728,1049.0
35,0.42937496,70,160,10,0.42937496,0.0056622368288013775,female,365.25,35,Events,STROKE,#d62728,1049.0
35,0.4145223,75,157,25,0.4145223,0.0041880984688578565,female,365.25,35,Events,STROKE,#d62728,1049.0
35,0.6528205,80,130,15,0.6528205,0.008422145737725982,female,365.25,35,Events,STROKE,#d62728,1049.0
35,0.37093154,85,99,9,0.37093154,0.009453413393726632,female,365.25,35,Events,STROKE,#d62728,1049.0
35,0.7602041,90,49,4,0.7602041,0.012088062240897745,female,365.25,35,Events,STROKE,#d62728,1049.0
35,0.27777776,95,18,2,0.27777776,0.03467683411036269,female,365.25,35,Events,STROKE,#d62728,1049.0
36,0.68661857,65,171,17,0.68661857,0.007417038344648844,female,365.25,36,Events,DEPRESSION,#d62728,1105.0
36,0.57937115,70,163,8,0.57937115,0.014800317224458423,female,365.25,36,Events,DEPRESSION,#d62728,1105.0
36,0.5425457,75,158,18,0.5425457,0.004972910225677211,female,365.25,36,Events,DEPRESSION,#d62728,1105.0
36,0.6036496,80,137,15,0.6036496,0.006352022069733492,female,365.25,36,Events,DEPRESSION,#d62728,1105.0
36,0.5694175,85,103,10,0.5694175,0.006977427179759734,female,365.25,36,Events,DEPRESSION,#d62728,1105.0
36,0.74428576,90,50,7,0.74428576,0.009181174272175576,female,365.25,36,Events,DEPRESSION,#d62728,1105.0
37,0.7165404,65,198,8,0.7165404,0.01635961546772992,female,365.25,37,Events,HTN_ONSET,#d62728,591.0
37,0.76647836,70,177,6,0.76647836,0.0054178523502615445,female,365.25,37,Events,HTN_ONSET,#d62728,591.0
37,0.7681436,75,187,14,0.7681436,0.005767623226817405,female,365.25,37,Events,HTN_ONSET,#d62728,591.0
37,0.7228773,80,159,8,0.7228773,0.012945788864139047,female,365.25,37,Events,HTN_ONSET,#d62728,591.0
37,0.6831897,85,116,6,0.6831897,0.016835143653888336,female,365.25,37,Events,HTN_ONSET,#d62728,591.0
37,0.72807014,90,57,4,0.72807014,0.018887680181975137,female,365.25,37,Events,HTN_ONSET,#d62728,591.0
38,0.9273302,65,211,3,0.9273302,0.0010067661720554238,female,365.25,38,Events,DM_ONSET,#d62728,335.0
38,0.8989899,70,198,3,0.8989899,0.010322162935330744,female,365.25,38,Events,DM_ONSET,#d62728,335.0
38,0.78205127,75,195,5,0.78205127,0.008523894820577494,female,365.25,38,Events,DM_ONSET,#d62728,335.0
38,0.750969,80,172,9,0.750969,0.0048048790955501006,female,365.25,38,Events,DM_ONSET,#d62728,335.0
38,0.8358209,85,134,3,0.8358209,0.02047504544994601,female,365.25,38,Events,DM_ONSET,#d62728,335.0
39,0.890625,75,208,2,0.890625,0.006019928715725985,female,365.25,39,Events,CHF_ONSET,#d62728,189.0
39,0.9185083,80,181,2,0.9185083,0.0015103503659264694,female,365.25,39,Events,CHF_ONSET,#d62728,189.0
39,0.7817746,85,139,6,0.7817746,0.002243615446230928,female,365.25,39,Events,CHF_ONSET,#d62728,189.0
39,0.5692308,90,65,3,0.5692308,0.006949376022635492,female,365.25,39,Events,CHF_ONSET,#d62728,189.0
40,0.8501683,65,198,3,0.8501683,0.01834507198033584,female,365.25,40,Events,CLAUD_ONSET,#d62728,628.0
40,0.7297486,70,179,12,0.7297486,0.007852394735105921,female,365.25,40,Events,CLAUD_ONSET,#d62728,628.0
40,0.75537217,75,169,19,0.75537217,0.0044267739581244515,female,365.25,40,Events,CLAUD_ONSET,#d62728,628.0
40,0.77748066,80,153,11,0.77748066,0.0030394920365255746,female,365.25,40,Events,CLAUD_ONSET,#d62728,628.0
40,0.6229167,85,120,4,0.6229167,0.015569608079555387,female,365.25,40,Events,CLAUD_ONSET,#d62728,628.0
40,0.80859375,90,64,2,0.80859375,0.00736054920014881,female,365.25,40,Events,CLAUD_ONSET,#d62728,628.0
41,0.7733333,65,225,3,0.7733333,0.026174973181049596,female,365.25,41,Events,HEART_ONSET,#d62728,220.0
41,0.81796116,70,206,3,0.81796116,0.004911902699237166,female,365.25,41,Events,HEART_ONSET,#d62728,220.0
41,0.788835,75,206,2,0.788835,0.014664349574483624,female,365.25,41,Events,HEART_ONSET,#d62728,220.0
41,0.8278688,80,183,4,0.8278688,0.009512994027570767,female,365.25,41,Events,HEART_ONSET,#d62728,220.0
41,0.86956525,95,23,2,0.86956525,0.010740678669722593,female,365.25,41,Events,HEART_ONSET,#d62728,220.0
42,0.65662384,65,61,37,0.65662384,0.0033378147176995384,female,365.25,42,Medications,ANTIHYP_ON,#1f77b4,2819.0
42,0.5477941,70,68,34,0.5477941,0.0035675600612298745,female,365.25,42,Medications,ANTIHYP_ON,#1f77b4,2819.0
42,0.3891387,75,59,49,0.3891387,0.0032967165665689887,female,365.25,42,Medications,ANTIHYP_ON,#1f77b4,2819.0
42,0.3950981,80,51,40,0.3950981,0.0040359281254650405,female,365.25,42,Medications,ANTIHYP_ON,#1f77b4,2819.0
42,0.3802083,85,32,24,0.3802083,0.008019498256132037,female,365.25,42,Medications,ANTIHYP_ON,#1f77b4,2819.0
42,0.15555555,90,9,10,0.15555555,0.008916324434293505,female,365.25,42,Medications,ANTIHYP_ON,#1f77b4,2819.0
43,0.90847784,65,173,9,0.90847784,0.000633380018251896,female,365.25,43,Medications,ANTIHYP_OFF,#1f77b4,1169.0
43,0.8406452,70,155,15,0.8406452,0.0029380885901217533,female,365.25,43,Medications,ANTIHYP_OFF,#1f77b4,1169.0
43,0.80404097,75,158,13,0.80404097,0.0027885842903826483,female,365.25,43,Medications,ANTIHYP_OFF,#1f77b4,1169.0
43,0.74716055,80,135,15,0.74716055,0.003169476034607391,female,365.25,43,Medications,ANTIHYP_OFF,#1f77b4,1169.0
43,0.72499996,85,105,16,0.72499996,0.005361479508918326,female,365.25,43,Medications,ANTIHYP_OFF,#1f77b4,1169.0
43,0.5944444,90,45,8,0.5944444,0.017018598345628293,female,365.25,43,Medications,ANTIHYP_OFF,#1f77b4,1169.0
43,0.6166667,95,15,4,0.6166667,0.020687830825804412,female,365.25,43,Medications,ANTIHYP_OFF,#1f77b4,1169.0
44,0.6071726,65,109,33,0.6071726,0.0038543263622630927,female,365.25,44,Medications,STATIN_ON,#1f77b4,2132.0
44,0.57289726,70,107,30,0.57289726,0.003513813006019313,female,365.25,44,Medications,STATIN_ON,#1f77b4,2132.0
44,0.41019273,75,107,32,0.41019273,0.0038967856402733264,female,365.25,44,Medications,STATIN_ON,#1f77b4,2132.0
44,0.40364993,80,98,26,0.40364993,0.004574202550256645,female,365.25,44,Medications,STATIN_ON,#1f77b4,2132.0
44,0.3838141,85,78,8,0.3838141,0.008420682526326724,female,365.25,44,Medications,STATIN_ON,#1f77b4,2132.0
44,0.28409094,90,33,4,0.28409094,0.03594598721200846,female,365.25,44,Medications,STATIN_ON,#1f77b4,2132.0
44,0.69230765,95,13,2,0.69230765,0.06139053307341401,female,365.25,44,Medications,STATIN_ON,#1f77b4,2132.0
45,0.9541919,65,178,13,0.9541919,0.00024790205041790015,female,365.25,45,Medications,STATIN_OFF,#1f77b4,984.0
45,0.82006174,70,162,10,0.82006174,0.005193101146833966,female,365.25,45,Medications,STATIN_OFF,#1f77b4,984.0
45,0.88363546,75,157,13,0.88363546,0.0029017803090965037,female,365.25,45,Medications,STATIN_OFF,#1f77b4,984.0
45,0.934303,80,136,23,0.934303,0.0004052085318770441,female,365.25,45,Medications,STATIN_OFF,#1f77b4,984.0
45,0.7878788,85,105,11,0.7878788,0.005609904445513957,female,365.25,45,Medications,STATIN_OFF,#1f77b4,984.0
45,0.8511905,90,48,7,0.8511905,0.01145326998793225,female,365.25,45,Medications,STATIN_OFF,#1f77b4,984.0
45,0.8431373,95,17,3,0.8431373,0.007833525595734647,female,365.25,45,Medications,STATIN_OFF,#1f77b4,984.0
46,0.50654453,65,191,12,0.50654453,0.010965206117884164,female,365.25,46,Medications,DIABRX_ON,#1f77b4,736.0
46,0.5650706,70,181,9,0.5650706,0.011426202076334588,female,365.25,46,Medications,DIABRX_ON,#1f77b4,736.0
46,0.28838316,75,184,8,0.28838316,0.012131967504521498,female,365.25,46,Medications,DIABRX_ON,#1f77b4,736.0
46,0.8411256,80,165,7,0.8411256,0.003812611986316258,female,365.25,46,Medications,DIABRX_ON,#1f77b4,736.0
46,0.6679198,85,133,6,0.6679198,0.00765863562171092,female,365.25,46,Medications,DIABRX_ON,#1f77b4,736.0
46,0.42063493,90,63,2,0.42063493,0.1520290351476088,female,365.25,46,Medications,DIABRX_ON,#1f77b4,736.0
47,0.85149086,65,218,4,0.85149086,0.020366229746198502,female,365.25,47,Medications,DIABRX_OFF,#1f77b4,272.0
47,0.81155777,70,199,4,0.81155777,0.03020346164148449,female,365.25,47,Medications,DIABRX_OFF,#1f77b4,272.0
47,0.9932999,75,199,3,0.9932999,3.0778354479865257e-05,female,365.25,47,Medications,DIABRX_OFF,#1f77b4,272.0
47,0.9820075,80,176,6,0.9820075,0.00013113071784406368,female,365.25,47,Medications,DIABRX_OFF,#1f77b4,272.0
47,0.9219858,85,141,3,0.9219858,0.005205977204345211,female,365.25,47,Medications,DIABRX_OFF,#1f77b4,272.0
47,0.9782609,90,69,2,0.9782609,0.0006254862641434804,female,365.25,47,Medications,DIABRX_OFF,#1f77b4,272.0
48,0.93537414,65,196,3,0.93537414,0.000728937506389952,female,365.25,48,Medications,ADRX_ON,#1f77b4,673.0
48,0.5544944,70,178,5,0.5544944,0.027473747673412416,female,365.25,48,Medications,ADRX_ON,#1f77b4,673.0
48,0.6856737,75,176,14,0.6856737,0.008111037987263136,female,365.25,48,Medications,ADRX_ON,#1f77b4,673.0
48,0.5947712,80,153,6,0.5947712,0.015916542328054714,female,365.25,48,Medications,ADRX_ON,#1f77b4,673.0
48,0.6496866,85,116,11,0.6496866,0.006479131259160626,female,365.25,48,Medications,ADRX_ON,#1f77b4,673.0
48,0.7099056,90,53,8,0.7099056,0.015720999306621894,female,365.25,48,Medications,ADRX_ON,#1f77b4,673.0
49,0.86734694,70,196,2,0.86734694,0.016532240529509454,female,365.25,49,Medications,ADRX_OFF,#1f77b4,250.0
49,0.90210295,75,197,7,0.90210295,0.00400675379831022,female,365.25,49,Medications,ADRX_OFF,#1f77b4,250.0
49,0.9770115,80,174,2,0.9770115,0.00012982678815399296,female,365.25,49,Medications,ADRX_OFF,#1f77b4,250.0
49,0.97303915,85,136,6,0.97303915,0.00019908652413169829,female,365.25,49,Medications,ADRX_OFF,#1f77b4,250.0
49,0.9431818,90,66,4,0.9431818,0.0007842116697481909,female,365.25,49,Medications,ADRX_OFF,#1f77b4,250.0
50,0.63894624,65,176,11,0.63894624,0.007932898374125199,female,365.25,50,Clinical measures,BMI_low,#2ca02c,1013.0
50,0.58278865,70,153,18,0.58278865,0.0050472283408094275,female,365.25,50,Clinical measures,BMI_low,#2ca02c,1013.0
