token,auc,age,n_healthy,n_diseased,auc_delong,auc_variance_delong,sex,offset_days,index,ICD-10 Chapter (short),name,color,count
34,0.9754601,70,163,4,0.9754601,0.00040591365529659974,female,0.1,34,Events,AD_DX,#d62728,1034.0
34,0.94638884,75,150,12,0.94638884,0.000643404426362676,female,0.1,34,Events,AD_DX,#d62728,1034.0
34,0.95059526,80,120,14,0.95059526,0.0006175020888713229,female,0.1,34,Events,AD_DX,#d62728,1034.0
34,0.8695352,85,83,35,0.8695352,0.0011762271890751802,female,0.1,34,Events,AD_DX,#d62728,1034.0
34,0.85827667,90,42,21,0.85827667,0.0021925834148601693,female,0.1,34,Events,AD_DX,#d62728,1034.0
34,0.875,95,8,9,0.875,0.010189319098437307,female,0.1,34,Events,AD_DX,#d62728,1034.0
35,0.63989073,65,183,5,0.63989073,0.02433289928276091,female,0.1,35,Events,STROKE,#d62728,1049.0
35,0.5736311,70,171,11,0.5736311,0.010162733896673633,female,0.1,35,Events,STROKE,#d62728,1049.0
35,0.5146495,75,166,22,0.5146495,0.005780700963020872,female,0.1,35,Events,STROKE,#d62728,1049.0
35,0.65451837,80,138,17,0.65451837,0.00545904522455465,female,0.1,35,Events,STROKE,#d62728,1049.0
35,0.39525995,85,109,12,0.39525995,0.008898512346058648,female,0.1,35,Events,STROKE,#d62728,1049.0
35,0.61875,90,64,5,0.61875,0.017064189684636417,female,0.1,35,Events,STROKE,#d62728,1049.0
35,0.3181818,95,22,2,0.3181818,0.03905942468416124,female,0.1,35,Events,STROKE,#d62728,1049.0
36,0.76095545,65,174,16,0.76095545,0.004983005356594758,female,0.1,36,Events,DEPRESSION,#d62728,1105.0
36,0.7072774,70,171,9,0.7072774,0.012128846299126224,female,0.1,36,Events,DEPRESSION,#d62728,1105.0
36,0.64392644,75,167,14,0.64392644,0.007413420115958878,female,0.1,36,Events,DEPRESSION,#d62728,1105.0
36,0.72214156,80,145,19,0.72214156,0.0027126686529909765,female,0.1,36,Events,DEPRESSION,#d62728,1105.0
36,0.53057116,85,113,11,0.53057116,0.010541166604985816,female,0.1,36,Events,DEPRESSION,#d62728,1105.0
36,0.63931626,90,65,9,0.63931626,0.012010715745405258,female,0.1,36,Events,DEPRESSION,#d62728,1105.0
37,0.91333336,65,200,6,0.91333336,0.0013414770745699266,female,0.1,37,Events,HTN_ONSET,#d62728,591.0
37,0.8085106,70,188,5,0.8085106,0.0028483952084533155,female,0.1,37,Events,HTN_ONSET,#d62728,591.0
37,0.88344985,75,195,11,0.88344985,0.0010805369097290538,female,0.1,37,Events,HTN_ONSET,#d62728,591.0
37,0.7617063,80,168,15,0.7617063,0.002549359106122851,female,0.1,37,Events,HTN_ONSET,#d62728,591.0
37,0.84296876,85,128,5,0.84296876,0.003630769982555649,female,0.1,37,Events,HTN_ONSET,#d62728,591.0
37,0.6972973,90,74,5,0.6972973,0.015321352931329683,female,0.1,37,Events,HTN_ONSET,#d62728,591.0
37,0.5681818,95,22,2,0.5681818,0.014708775333511911,female,0.1,37,Events,HTN_ONSET,#d62728,591.0
38,0.89797515,65,214,3,0.89797515,0.0004760912695592577,female,0.1,38,Events,DM_ONSET,#d62728,335.0
38,0.94206345,70,210,3,0.94206345,0.0019422410748128377,female,0.1,38,Events,DM_ONSET,#d62728,335.0
38,0.8471545,75,205,3,0.8471545,0.013471673253916574,female,0.1,38,Events,DM_ONSET,#d62728,335.0
38,0.72952044,80,182,11,0.72952044,0.004171199795185309,female,0.1,38,Events,DM_ONSET,#d62728,335.0
38,0.73116434,85,146,2,0.73116434,0.035544977956725295,female,0.1,38,Events,DM_ONSET,#d62728,335.0
39,0.89678895,75,218,2,0.89678895,0.005980827927268854,female,0.1,39,Events,CHF_ONSET,#d62728,189.0
39,0.83507854,80,191,2,0.83507854,0.027489939557845757,female,0.1,39,Events,CHF_ONSET,#d62728,189.0
39,0.7839912,85,152,3,0.7839912,0.0018924731505503749,female,0.1,39,Events,CHF_ONSET,#d62728,189.0
39,0.7781007,90,86,6,0.7781007,0.0064166238627264335,female,0.1,39,Events,CHF_ONSET,#d62728,189.0
40,0.9328358,65,201,2,0.9328358,0.0019958651347616054,female,0.1,40,Events,CLAUD_ONSET,#d62728,628.0
40,0.8366492,70,191,10,0.8366492,0.001995530084738501,female,0.1,40,Events,CLAUD_ONSET,#d62728,628.0
40,0.8739731,75,179,17,0.8739731,0.0011358040800449804,female,0.1,40,Events,CLAUD_ONSET,#d62728,628.0
40,0.7125111,80,161,14,0.7125111,0.0030145541940937927,female,0.1,40,Events,CLAUD_ONSET,#d62728,628.0
40,0.6833334,85,130,6,0.6833334,0.0030833987568526077,female,0.1,40,Events,CLAUD_ONSET,#d62728,628.0
40,0.57738096,90,84,2,0.57738096,0.03169736672220597,female,0.1,40,Events,CLAUD_ONSET,#d62728,628.0
41,0.9517544,65,228,2,0.9517544,0.0008368392994306577,female,0.1,41,Events,HEART_ONSET,#d62728,220.0
41,0.7702546,75,216,4,0.7702546,0.006517025463816627,female,0.1,41,Events,HEART_ONSET,#d62728,220.0
41,0.8102332,80,193,4,0.8102332,0.009656831537148271,female,0.1,41,Events,HEART_ONSET,#d62728,220.0
41,0.61935484,85,155,2,0.61935484,0.04893522031346199,female,0.1,41,Events,HEART_ONSET,#d62728,220.0
41,0.46296296,95,27,2,0.46296296,0.08138123372961006,female,0.1,41,Events,HEART_ONSET,#d62728,220.0
42,0.6691104,65,62,33,0.6691104,0.003303997776142097,female,0.1,42,Medications,ANTIHYP_ON,#1f77b4,2819.0
42,0.5520833,70,72,32,0.5520833,0.003829033420728612,female,0.1,42,Medications,ANTIHYP_ON,#1f77b4,2819.0
42,0.41876924,75,65,50,0.41876924,0.003124549546051471,female,0.1,42,Medications,ANTIHYP_ON,#1f77b4,2819.0
42,0.46058884,80,54,39,0.46058884,0.004204139532586283,female,0.1,42,Medications,ANTIHYP_ON,#1f77b4,2819.0
42,0.36591697,85,34,34,0.36591697,0.0053547365433792874,female,0.1,42,Medications,ANTIHYP_ON,#1f77b4,2819.0
42,0.25,90,16,8,0.25,0.011383928571428571,female,0.1,42,Medications,ANTIHYP_ON,#1f77b4,2819.0
42,0.0,95,2,3,0.0,0.0,female,0.1,42,Medications,ANTIHYP_ON,#1f77b4,2819.0
43,0.9790483,65,176,8,0.9790483,0.00020256319116811994,female,0.1,43,Medications,ANTIHYP_OFF,#1f77b4,1169.0
43,0.9608434,70,166,11,0.9608434,0.00021591532048373434,female,0.1,43,Medications,ANTIHYP_OFF,#1f77b4,1169.0
43,0.91741073,75,168,16,0.91741073,0.0005141011873924149,female,0.1,43,Medications,ANTIHYP_OFF,#1f77b4,1169.0
43,0.8450704,80,142,14,0.8450704,0.0014960569373111028,female,0.1,43,Medications,ANTIHYP_OFF,#1f77b4,1169.0
43,0.7890326,85,116,18,0.7890326,0.0022734032100833134,female,0.1,43,Medications,ANTIHYP_OFF,#1f77b4,1169.0
43,0.76666665,90,60,10,0.76666665,0.0048200462703975495,female,0.1,43,Medications,ANTIHYP_OFF,#1f77b4,1169.0
43,0.6470588,95,17,2,0.6470588,0.02443771461302026,female,0.1,43,Medications,ANTIHYP_OFF,#1f77b4,1169.0
44,0.60939395,65,110,30,0.60939395,0.003975308804179709,female,0.1,44,Medications,STATIN_ON,#1f77b4,2132.0
44,0.598048,70,111,30,0.598048,0.003223445709149268,female,0.1,44,Medications,STATIN_ON,#1f77b4,2132.0
44,0.49024022,75,111,36,0.49024022,0.0031861776804519657,female,0.1,44,Medications,STATIN_ON,#1f77b4,2132.0
44,0.40938514,80,103,27,0.40938514,0.003917953905342544,female,0.1,44,Medications,STATIN_ON,#1f77b4,2132.0
44,0.35893416,85,87,11,0.35893416,0.007468869883702257,female,0.1,44,Medications,STATIN_ON,#1f77b4,2132.0
44,0.36400002,90,50,5,0.36400002,0.030166693970295862,female,0.1,44,Medications,STATIN_ON,#1f77b4,2132.0
44,0.4222222,95,15,3,0.4222222,0.016860670151954398,female,0.1,44,Medications,STATIN_ON,#1f77b4,2132.0
45,0.974162,65,179,8,0.974162,0.00014562373623464714,female,0.1,45,Medications,STATIN_OFF,#1f77b4,984.0
45,0.9602826,70,171,12,0.9602826,0.00020473790145474427,female,0.1,45,Medications,STATIN_OFF,#1f77b4,984.0
45,0.9109294,75,166,14,0.9109294,0.000506848304168365,female,0.1,45,Medications,STATIN_OFF,#1f77b4,984.0
45,0.936632,80,144,20,0.936632,0.0003457537457942719,female,0.1,45,Medications,STATIN_OFF,#1f77b4,984.0
45,0.8846154,85,116,13,0.8846154,0.0010079783539462962,female,0.1,45,Medications,STATIN_OFF,#1f77b4,984.0
45,0.959091,90,66,10,0.959091,0.00046713448007172696,female,0.1,45,Medications,STATIN_OFF,#1f77b4,984.0
45,0.9125,95,20,4,0.9125,0.00412828902664941,female,0.1,45,Medications,STATIN_OFF,#1f77b4,984.0
