idx	tag	seed	n_layer	n_head	n_embd	n_params
1	L12E120H12	42	12	12	120	2104320
2	L12E120H12	43	12	12	120	2104320
3	L12E120H12	44	12	12	120	2104320
4	L12E120H6	42	12	6	120	2104320
5	L12E120H6	43	12	6	120	2104320
6	L12E120H6	44	12	6	120	2104320
7	L8E120H6	42	8	6	120	1412160
8	L8E120H6	43	8	6	120	1412160
9	L8E120H6	44	8	6	120	1412160
10	L8E96H6	42	8	6	96	906240
11	L8E96H6	43	8	6	96	906240
12	L8E96H6	44	8	6	96	906240
13	L6E96H6	42	6	6	96	684672
14	L6E96H6	43	6	6	96	684672
15	L6E96H6	44	6	6	96	684672
16	L6E64H4	42	6	4	64	306944
17	L6E64H4	43	6	4	64	306944
18	L6E64H4	44	6	4	64	306944
