frm,to,label,from_idx,to_idx,n_train,n_train_pos,n_test,n_test_pos,n_feat,C,val_auc,lr_auc,lr_lo,lr_hi,lr_age_auc,lr_age_lo,lr_age_hi
Normal,Impaired,Normal→Impaired,0,1,5874,630,1692,241,94,0.0003,0.6244333194270616,0.6275397422295683,0.5906003026809599,0.6639433522419271,0.49448799082618655,0.45697642529154725,0.5337474171177296
Normal,MCI,Normal→MCI,0,2,6276,1587,1773,432,98,0.0003,0.702872232865049,0.7261268539232746,0.6991523253707929,0.75474673244113,0.6156725564117436,0.5861197983459239,0.6462673038931604
Normal,Dementia,Normal→Dementia,0,3,5694,316,1640,97,94,0.01,0.7502629426200771,0.746470592165483,0.6959346060471603,0.7959240786136034,0.6772721502495473,0.6193499869037048,0.7301838492508059
Normal,Death,Normal→Death,0,4,5627,292,1613,78,94,0.03,0.8311515617150793,0.8089785350371669,0.7634790833284387,0.8515762461882166,0.7817213730894512,0.7309347206713841,0.8290253020196477
Impaired,Normal,Impaired→Normal,1,0,793,498,224,151,84,0.003,0.7498273878020714,0.6836614351809853,0.609376717331616,0.7549332287086015,0.5792887598657354,0.5014694909356158,0.6679657944461315
Impaired,MCI,Impaired→MCI,1,2,711,379,209,120,84,10.0,0.5751915708812261,0.550561797752809,0.4663324824067878,0.6259968918578606,0.6025280898876404,0.5259096222209201,0.6802660638648942
Impaired,Dementia,Impaired→Dementia,1,3,598,137,168,30,80,0.003,0.769,0.7270531400966184,0.6263090502141513,0.821771982230392,0.635144927536232,0.5249326397934564,0.7411293949106449
MCI,Normal,MCI→Normal,2,0,3030,998,875,278,96,0.003,0.7557823129251701,0.8045503295855778,0.7689326274811797,0.8342752499141806,0.6252997601918466,0.5851071594124183,0.6681331287517863
MCI,Impaired,MCI→Impaired,2,1,2802,481,797,132,96,0.0001,0.6795490506329114,0.6947938026885395,0.6491530295825663,0.7391025650292682,0.6289929368876738,0.5762576185351241,0.6755983413898882
MCI,Dementia,MCI→Dementia,2,3,3499,2190,984,620,97,0.1,0.7762258434024313,0.7952720666430344,0.7682755127128469,0.8226916856360889,0.569727047146402,0.5338364566889662,0.6044030228964767
MCI,Death,MCI→Death,2,4,2559,412,735,125,92,100.0,0.7254088504088505,0.7576,0.706421136208633,0.8051507997494899,0.6584000000000001,0.6015347345951816,0.7129796529190979
Dementia,MCI,Dementia→MCI,3,2,3337,239,958,77,98,0.0003,0.810856807511737,0.7497088609460913,0.6983426057510178,0.798874650404902,0.5787475861255656,0.5088498159072014,0.6405396908216978
Dementia,Death,Dementia→Death,3,4,3222,1089,917,292,95,0.001,0.6583604669191752,0.6690575342465753,0.6330425196133181,0.7093493910784223,0.5505917808219178,0.5107064459678405,0.5881549107443206
