idx	arm	control	seed	n_layer	n_head	n_embd	n_params
1	TH_L12E120H12	L12E120H12	42	12	12	120	2104441
2	TH_L12E120H12	L12E120H12	43	12	12	120	2104441
3	TH_L12E120H12	L12E120H12	44	12	12	120	2104441
4	TH_L8E120H6	L8E120H6	42	8	6	120	1412281
5	TH_L8E120H6	L8E120H6	43	8	6	120	1412281
6	TH_L8E120H6	L8E120H6	44	8	6	120	1412281
7	DT_L12E120H12	L12E120H12	42	12	12	120	2104320
8	DT_L12E120H12	L12E120H12	43	12	12	120	2104320
9	DT_L12E120H12	L12E120H12	44	12	12	120	2104320
10	DT_L8E120H6	L8E120H6	42	8	6	120	1412160
11	DT_L8E120H6	L8E120H6	43	8	6	120	1412160
12	DT_L8E120H6	L8E120H6	44	8	6	120	1412160
